"X","Y","H30_Lusit (TWT)"
527780.01,2263561.01,375.421745
527780.01,2263661.01,376.019897
527780.01,2263761.01,378.304291
527780.01,2263861.01,379.294006
527780.01,2263961.01,380.124596
527780.01,2264061.01,382.261581
527780.01,2264161.01,386.09951
527780.01,2264261.01,388.77211
527780.01,2264361.01,393.284943
527780.01,2264461.01,395.672012
527780.01,2264561.01,398.546753
527780.01,2264661.01,404.701279
527780.01,2264761.01,406.227798
527780.01,2264861.01,410.503677
527780.01,2264961.01,415.880219
527780.01,2265061.01,418.259277
527780.01,2265161.01,417.990509
527780.01,2265261.01,414.5056
527780.01,2265361.01,406.560532
527780.01,2265461.01,396.413368
527780.01,2265561.01,383.092422
527780.01,2265661.01,382.057068
527780.01,2265761.01,384.346313
527780.01,2265861.01,385.076202
527780.01,2265961.01,387.205917
527780.01,2266061.01,387.158081
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,375.214676
527880.01,2261261.01,370.623199
527880.01,2261361.01,370.694031
527880.01,2261461.01,370.412354
527880.01,2261561.01,371.491104
527880.01,2261661.01,372.917007
527880.01,2261761.01,373.64769
527880.01,2261861.01,373.490982
527880.01,2261961.01,374.104385
527880.01,2262061.01,373.690765
527880.01,2262161.01,369.534149
527880.01,2262261.01,365.915161
527880.01,2262361.01,365.911072
527880.01,2262461.01,366.656738
527880.01,2262561.01,367.395493
527880.01,2262661.01,368.15242
527880.01,2262761.01,369.969696
527880.01,2262861.01,371.748962
527880.01,2262961.01,372.137299
527880.01,2263061.01,373.395699
527880.01,2263161.01,374.211929
527880.01,2263261.01,373.755539
527880.01,2263361.01,372.91748
527880.01,2263461.01,373.239868
527880.01,2263561.01,373.443893
527880.01,2263661.01,375.202103
527880.01,2263761.01,377.339645
527880.01,2263861.01,378.342438
527880.01,2263961.01,379.341278
527880.01,2264061.01,382.02121
527880.01,2264161.01,385.589859
527880.01,2264261.01,387.711502
527880.01,2264361.01,393.127983
527880.01,2264461.01,394.077484
527880.01,2264561.01,396.47467
527880.01,2264661.01,400.122314
527880.01,2264761.01,404.754456
527880.01,2264861.01,405.516769
527880.01,2264961.01,405.85051
527880.01,2265061.01,402.799469
527880.01,2265161.01,395.50235
527880.01,2265261.01,394.857529
527880.01,2265361.01,393.76001
527880.01,2265461.01,390.670052
527880.01,2265561.01,382.430038
527880.01,2265661.01,381.315903
527880.01,2265761.01,382.397995
527880.01,2265861.01,383.485275
527880.01,2265961.01,386.207794
527880.01,2266061.01,387.156586
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,-9999
527980.01,2261161.01,386.364792
527980.01,2261261.01,381.370117
527980.01,2261361.01,379.843742
527980.01,2261461.01,374.966614
527980.01,2261561.01,373.199409
527980.01,2261661.01,373.62384
527980.01,2261761.01,374.531143
527980.01,2261861.01,374.349609
527980.01,2261961.01,374.328621
527980.01,2262061.01,373.976288
527980.01,2262161.01,368.449768
527980.01,2262261.01,365.719055
527980.01,2262361.01,366.209305
527980.01,2262461.01,365.593826
527980.01,2262561.01,365.721008
527980.01,2262661.01,365.67289
527980.01,2262761.01,366.850159
527980.01,2262861.01,368.365868
527980.01,2262961.01,368.513916
527980.01,2263061.01,370.163696
527980.01,2263161.01,371.68454
527980.01,2263261.01,371.438972
527980.01,2263361.01,371.930603
527980.01,2263461.01,372.605469
527980.01,2263561.01,372.638245
527980.01,2263661.01,374.318802
527980.01,2263761.01,375.982117
527980.01,2263861.01,376.702347
527980.01,2263961.01,379.167252
527980.01,2264061.01,382.892059
527980.01,2264161.01,385.213272
