"X","Y","H20_Kimm (TWT)"
527780.01,2263461.01,259.405914
527780.01,2263561.01,259.45253
527780.01,2263661.01,259.8414
527780.01,2263761.01,261.879639
527780.01,2263861.01,264.902008
527780.01,2263961.01,266.567596
527780.01,2264061.01,269.660797
527780.01,2264161.01,272.741585
527780.01,2264261.01,276.284836
527780.01,2264361.01,280.219971
527780.01,2264461.01,285.145813
527780.01,2264561.01,288.175674
527780.01,2264661.01,293.923492
527780.01,2264761.01,299.549408
527780.01,2264861.01,301.554443
527780.01,2264961.01,305.106415
527780.01,2265061.01,307.494507
527780.01,2265161.01,309.05899
527780.01,2265261.01,312.500031
527780.01,2265361.01,314.477066
527780.01,2265461.01,307.714287
527780.01,2265561.01,279.654709
527780.01,2265661.01,274.51474
527780.01,2265761.01,274.418015
527780.01,2265861.01,274.560211
527780.01,2265961.01,277.691711
527780.01,2266061.01,278.426514
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,253.783836
527880.01,2261261.01,249.607864
527880.01,2261361.01,250.419197
527880.01,2261461.01,250.19841
527880.01,2261561.01,253.642021
527880.01,2261661.01,255.297142
527880.01,2261761.01,255.45253
527880.01,2261861.01,255.684746
527880.01,2261961.01,256.345795
527880.01,2262061.01,256.556274
527880.01,2262161.01,254.607483
527880.01,2262261.01,250.568192
527880.01,2262361.01,248.413826
527880.01,2262461.01,248.530266
527880.01,2262561.01,248.963867
527880.01,2262661.01,249.54306
527880.01,2262761.01,250.708069
527880.01,2262861.01,253.546013
527880.01,2262961.01,253.642746
527880.01,2263061.01,255.990845
527880.01,2263161.01,256.962677
527880.01,2263261.01,256.863739
527880.01,2263361.01,256.52507
527880.01,2263461.01,257.118042
527880.01,2263561.01,256.55246
527880.01,2263661.01,258.154648
527880.01,2263761.01,260.91188
527880.01,2263861.01,262.123932
527880.01,2263961.01,265.059341
527880.01,2264061.01,268.957367
527880.01,2264161.01,272.955307
527880.01,2264261.01,275.533279
527880.01,2264361.01,279.928207
527880.01,2264461.01,283.810593
527880.01,2264561.01,286.836121
527880.01,2264661.01,292.256851
527880.01,2264761.01,296.344147
527880.01,2264861.01,297.532578
527880.01,2264961.01,300.254761
527880.01,2265061.01,302.224495
527880.01,2265161.01,296.71524
527880.01,2265261.01,290.85643
527880.01,2265361.01,285.967163
527880.01,2265461.01,282.42157
527880.01,2265561.01,276.283905
527880.01,2265661.01,272.991837
527880.01,2265761.01,273.676285
527880.01,2265861.01,274.402435
527880.01,2265961.01,277.537781
527880.01,2266061.01,278.679565
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,-9999
527980.01,2261161.01,266.384933
527980.01,2261261.01,261.80014
527980.01,2261361.01,261.048325
527980.01,2261461.01,254.449348
527980.01,2261561.01,254.522636
527980.01,2261661.01,256.005066
527980.01,2261761.01,257.101105
527980.01,2261861.01,256.253723
527980.01,2261961.01,256.385368
527980.01,2262061.01,256.047958
527980.01,2262161.01,253.762119
527980.01,2262261.01,250.935913
527980.01,2262361.01,247.94883
527980.01,2262461.01,245.80928
527980.01,2262561.01,246.464478
527980.01,2262661.01,246.363419
527980.01,2262761.01,248.554893
527980.01,2262861.01,250.040024
527980.01,2262961.01,250.66658
527980.01,2263061.01,252.290596
527980.01,2263161.01,253.688019
527980.01,2263261.01,254.009041
527980.01,2263361.01,255.059845
527980.01,2263461.01,256.050606
527980.01,2263561.01,255.880325
527980.01,2263661.01,257.381668
527980.01,2263761.01,259.138336
527980.01,2263861.01,260.98468
527980.01,2263961.01,264.570435
527980.01,2264061.01,269.019226
527980.01,2264161.01,270.796188
527980.01,2264261.01,275.592163
527980.01,2264361.01,279.746078
527980.01,2264461.01,283.536224
527980.01,2264561.01,285.969765
527980.01,2264661.01,290.410156
527980.01,2264761.01,293.222107
527980.01,2264861.01,291.318878
527980.01,2264961.01,289.462036
527980.01,2265061.01,280.068405
527980.01,2265161.01,279.88353
527980.01,2265261.01,280.893806
527980.01,2265361.01,281.301849
527980.01,2265461.01,280.965637
527980.01,2265561.01,275.565369
527980.01,2265661.01,272.036331
527980.01,2265761.01,271.731827
527980.01,2265861.01,273.168114
527980.01,2265961.01,276.508408
527980.01,2266061.01,277.923279
527980.01,2266161.01,277.710144
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,283.006426
528080.01,2261161.01,277.09787
528080.01,2261261.01,276.470726
528080.01,2261361.01,278.551361
528080.01,2261461.01,263.739578
528080.01,2261561.01,256.570053
528080.01,2261661.01,255.794868
528080.01,2261761.01,255.353046
528080.01,2261861.01,255.327408
528080.01,2261961.01,254.706337
528080.01,2262061.01,254.502243
528080.01,2262161.01,249.85218
528080.01,2262261.01,247.375793
528080.01,2262361.01,245.427479
528080.01,2262461.01,244.542542
528080.01,2262561.01,244.410316
528080.01,2262661.01,244.552734
528080.01,2262761.01,246.747742
528080.01,2262861.01,247.270306
528080.01,2262961.01,249.526405
528080.01,2263061.01,250.123943
528080.01,2263161.01,251.348434
528080.01,2263261.01,251.33744
528080.01,2263361.01,253.485703
528080.01,2263461.01,254.637238
528080.01,2263561.01,255.169716
528080.01,2263661.01,256.380409
528080.01,2263761.01,257.920425
528080.01,2263861.01,259.889832
528080.01,2263961.01,264.120148
528080.01,2264061.01,268.621994
528080.01,2264161.01,270.393234
528080.01,2264261.01,274.007523
528080.01,2264361.01,277.654747
528080.01,2264461.01,278.580933
528080.01,2264561.01,280.902771
528080.01,2264661.01,280.008148
528080.01,2264761.01,278.133759
528080.01,2264861.01,275.87796
528080.01,2264961.01,275.330368
528080.01,2265061.01,276.865479
528080.01,2265161.01,278.422943
528080.01,2265261.01,280.587891
528080.01,2265361.01,282.340408
528080.01,2265461.01,281.087357
528080.01,2265561.01,275.694611
528080.01,2265661.01,270.647835
528080.01,2265761.01,269.990631
528080.01,2265861.01,272.755341
528080.01,2265961.01,275.473602
528080.01,2266061.01,277.128273
528080.01,2266161.01,277.253708
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,286.327759
528180.01,2261161.01,284.791351
528180.01,2261261.01,286.934998
528180.01,2261361.01,291.018021
528180.01,2261461.01,290.350853
528180.01,2261561.01,274.201691
528180.01,2261661.01,267.594711
528180.01,2261761.01,255.137833
528180.01,2261861.01,254.243462
528180.01,2261961.01,251.758873
528180.01,2262061.01,249.479027
528180.01,2262161.01,245.557419
528180.01,2262261.01,242.838181
528180.01,2262361.01,240.937202
528180.01,2262461.01,241.29277
528180.01,2262561.01,240.397141
528180.01,2262661.01,242.737518
528180.01,2262761.01,244.880978
528180.01,2262861.01,245.364395
528180.01,2262961.01,247.125107
528180.01,2263061.01,248.817688
528180.01,2263161.01,248.226784
528180.01,2263261.01,248.202011
528180.01,2263361.01,250.327042
528180.01,2263461.01,252.096378
528180.01,2263561.01,252.816406
528180.01,2263661.01,255.099312
528180.01,2263761.01,257.390839
528180.01,2263861.01,259.07122
528180.01,2263961.01,263.374176
528180.01,2264061.01,266.09304
528180.01,2264161.01,267.358856
528180.01,2264261.01,270.073029
528180.01,2264361.01,273.813538
528180.01,2264461.01,274.813866
528180.01,2264561.01,275.55806
528180.01,2264661.01,274.912521
528180.01,2264761.01,273.753342
528180.01,2264861.01,273.893494
528180.01,2264961.01,275.196442
528180.01,2265061.01,276.375458
528180.01,2265161.01,278.524208
528180.01,2265261.01,280.562729
528180.01,2265361.01,281.728813
528180.01,2265461.01,280.928162
528180.01,2265561.01,276.941605
528180.01,2265661.01,270.914978
528180.01,2265761.01,270.125603
528180.01,2265861.01,273.255119
528180.01,2265961.01,275.15123
528180.01,2266061.01,276.194122
528180.01,2266161.01,275.912811
528180.01,2266261.01,274.643044
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,288.383224
528280.01,2261161.01,289.415283
528280.01,2261261.01,292.751984
528280.01,2261361.01,295.651611
528280.01,2261461.01,297.955917
528280.01,2261561.01,301.008713
528280.01,2261661.01,305.151299
528280.01,2261761.01,286.190521
528280.01,2261861.01,277.48996
528280.01,2261961.01,254.90007
528280.01,2262061.01,247.395142
528280.01,2262161.01,243.139801
528280.01,2262261.01,240.268616
528280.01,2262361.01,236.647068
528280.01,2262461.01,235.810501
528280.01,2262561.01,234.650703
528280.01,2262661.01,237.367203
528280.01,2262761.01,240.81221
528280.01,2262861.01,241.702194
528280.01,2262961.01,243.859722
528280.01,2263061.01,245.036674
528280.01,2263161.01,244.654037
528280.01,2263261.01,246.04837
528280.01,2263361.01,247.816437
528280.01,2263461.01,248.76059
528280.01,2263561.01,250.866882
528280.01,2263661.01,252.212868
528280.01,2263761.01,252.389542
528280.01,2263861.01,255.21933
528280.01,2263961.01,257.924591
528280.01,2264061.01,260.78804
528280.01,2264161.01,261.287506
528280.01,2264261.01,263.910965
528280.01,2264361.01,268.308945
528280.01,2264461.01,270.335083
528280.01,2264561.01,273.249786
528280.01,2264661.01,274.362305
528280.01,2264761.01,273.757568
528280.01,2264861.01,273.507355
528280.01,2264961.01,275.012444
528280.01,2265061.01,275.914612
528280.01,2265161.01,277.442123
528280.01,2265261.01,278.77124
528280.01,2265361.01,278.609558
528280.01,2265461.01,279.294861
528280.01,2265561.01,276.664566
528280.01,2265661.01,270.805222
528280.01,2265761.01,271.180634
528280.01,2265861.01,273.361542
528280.01,2265961.01,274.591705
528280.01,2266061.01,274.470459
528280.01,2266161.01,274.955849
528280.01,2266261.01,273.998047
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,287.904968
528380.01,2260961.01,287.82077
528380.01,2261061.01,289.111938
528380.01,2261161.01,291.53894
528380.01,2261261.01,294.406158
528380.01,2261361.01,297.320297
528380.01,2261461.01,302.744537
528380.01,2261561.01,307.608612
528380.01,2261661.01,311.731644
528380.01,2261761.01,311.907684
528380.01,2261861.01,309.977112
528380.01,2261961.01,301.343872
528380.01,2262061.01,276.558342
528380.01,2262161.01,273.069855
528380.01,2262261.01,248.455734
528380.01,2262361.01,238.660645
528380.01,2262461.01,234.061653
528380.01,2262561.01,232.378365
528380.01,2262661.01,232.085228
528380.01,2262761.01,234.966095
528380.01,2262861.01,236.282059
528380.01,2262961.01,239.686516
528380.01,2263061.01,240.792175
528380.01,2263161.01,241.61161
528380.01,2263261.01,243.18895
528380.01,2263361.01,245.275238
528380.01,2263461.01,245.653473
528380.01,2263561.01,247.913193
528380.01,2263661.01,249.274017
528380.01,2263761.01,249.398384
528380.01,2263861.01,251.092453
528380.01,2263961.01,253.620319
528380.01,2264061.01,254.133698
528380.01,2264161.01,258.124817
528380.01,2264261.01,261.509079
528380.01,2264361.01,266.120941
528380.01,2264461.01,268.829659
528380.01,2264561.01,271.550797
528380.01,2264661.01,272.830116
528380.01,2264761.01,272.570068
528380.01,2264861.01,272.807205
528380.01,2264961.01,274.104034
528380.01,2265061.01,274.930771
528380.01,2265161.01,276.702942
528380.01,2265261.01,277.5494
528380.01,2265361.01,277.313202
528380.01,2265461.01,278.234528
528380.01,2265561.01,276.180649
528380.01,2265661.01,271.928146
528380.01,2265761.01,271.477127
528380.01,2265861.01,272.4375
528380.01,2265961.01,271.902512
528380.01,2266061.01,272.94519
528380.01,2266161.01,274.246475
528380.01,2266261.01,275.448059
528380.01,2266361.01,276.191559
528380.01,2266461.01,-9999
528480.01,2260861.01,-9999
528480.01,2260961.01,288.617386
528480.01,2261061.01,289.95607
528480.01,2261161.01,294.299385
528480.01,2261261.01,296.420074
528480.01,2261361.01,300.073822
528480.01,2261461.01,304.614319
528480.01,2261561.01,309.005516
528480.01,2261661.01,312.696167
528480.01,2261761.01,313.329369
528480.01,2261861.01,314.28006
528480.01,2261961.01,315.655121
528480.01,2262061.01,320.535843
528480.01,2262161.01,323.248886
528480.01,2262261.01,314.692307
528480.01,2262361.01,298.827209
528480.01,2262461.01,299.819809
528480.01,2262561.01,270.012207
528480.01,2262661.01,243.022049
528480.01,2262761.01,241.089897
