"X","Y","H02_TBeauce (TWT)"
527180.01,2262161.01,-34.624027252
527180.01,2262261.01,-34.832511902
527180.01,2262361.01,-34.399497986
527180.01,2262461.01,-34.489711761
527180.01,2262561.01,-35.092723846
527180.01,2262661.01,-35.283599854
527180.01,2262761.01,-35.154098511
527180.01,2262861.01,-35.581501007
527180.01,2262961.01,-35.765857697
527180.01,2263061.01,-35.712776184
527180.01,2263161.01,-35.483016968
527180.01,2263261.01,-34.62279129
527180.01,2263361.01,-34.234603882
527180.01,2263461.01,-34.208324432
527180.01,2263561.01,-33.967559814
527180.01,2263661.01,-33.785224915
527180.01,2263761.01,-32.461612701
527180.01,2263861.01,-30.601488113
527180.01,2263961.01,-29.651689529
527180.01,2264061.01,-28.004379272
527180.01,2264161.01,-30.035287857
527180.01,2264261.01,-31.629699707
527180.01,2264361.01,-34.40178299
527180.01,2264461.01,-34.793670654
527180.01,2264561.01,-33.654216766
527180.01,2264661.01,-30.508966446
527180.01,2264761.01,-27.539268494
527180.01,2264861.01,-29.657499313
527180.01,2264961.01,-31.202005386
527180.01,2265061.01,-31.937904358
527180.01,2265161.01,-32.54737854
527180.01,2265261.01,-33.712680817
527180.01,2265361.01,-34.31180954
527180.01,2265461.01,-35.340389252
527180.01,2265561.01,-36.308956146
527180.01,2265661.01,-37.594211578
527180.01,2265761.01,-38.629032135
527180.01,2265861.01,-39.593315125
527280.01,2261261.01,-29.851453781
527280.01,2261361.01,-30.000434875
527280.01,2261461.01,-29.98390007
527280.01,2261561.01,-30.082151413
527280.01,2261661.01,-31.607002258
527280.01,2261761.01,-33.325401306
527280.01,2261861.01,-34.912288666
527280.01,2261961.01,-35.744132996
527280.01,2262061.01,-35.38356781
527280.01,2262161.01,-35.503257751
527280.01,2262261.01,-35.932731628
527280.01,2262361.01,-35.802463531
527280.01,2262461.01,-36.114929199
527280.01,2262561.01,-36.622867584
527280.01,2262661.01,-37.160697937
527280.01,2262761.01,-36.45747757
527280.01,2262861.01,-36.325744629
527280.01,2262961.01,-36.446914673
527280.01,2263061.01,-36.150566101
527280.01,2263161.01,-35.625236511
527280.01,2263261.01,-35.007953644
527280.01,2263361.01,-34.228897095
527280.01,2263461.01,-34.160140991
527280.01,2263561.01,-34.143409729
527280.01,2263661.01,-33.545509338
527280.01,2263761.01,-32.172260284
527280.01,2263861.01,-30.901273727
527280.01,2263961.01,-29.893001556
527280.01,2264061.01,-28.039104462
527280.01,2264161.01,-30.911029816
527280.01,2264261.01,-32.908504486
527280.01,2264361.01,-34.594337463
527280.01,2264461.01,-35.229156494
527280.01,2264561.01,-34.69814682
