"X","Y","H10_Portl (TWT)"
528180.01,2265961.01,212.955696
528180.01,2266061.01,214.228401
528180.01,2266161.01,217.990265
528180.01,2266261.01,217.425465
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,231.588657
528280.01,2261161.01,231.528389
528280.01,2261261.01,234.618553
528280.01,2261361.01,238.448944
528280.01,2261461.01,239.16581
528280.01,2261561.01,241.023865
528280.01,2261661.01,246.044052
528280.01,2261761.01,243.925201
528280.01,2261861.01,240.661125
528280.01,2261961.01,214.04039
528280.01,2262061.01,194.041245
528280.01,2262161.01,185.297928
528280.01,2262261.01,185.180099
528280.01,2262361.01,185.116711
528280.01,2262461.01,183.187469
528280.01,2262561.01,181.966232
528280.01,2262661.01,182.66423
528280.01,2262761.01,185.105698
528280.01,2262861.01,185.969009
528280.01,2262961.01,186.380474
528280.01,2263061.01,186.137924
528280.01,2263161.01,184.903587
528280.01,2263261.01,184.517822
528280.01,2263361.01,186.291275
528280.01,2263461.01,186.898979
528280.01,2263561.01,188.634396
528280.01,2263661.01,188.518726
528280.01,2263761.01,188.235962
528280.01,2263861.01,190.071693
528280.01,2263961.01,192.02597
528280.01,2264061.01,194.419456
528280.01,2264161.01,194.065308
528280.01,2264261.01,194.949615
528280.01,2264361.01,196.772102
528280.01,2264461.01,197.074425
528280.01,2264561.01,197.732361
528280.01,2264661.01,197.245628
528280.01,2264761.01,196.470924
528280.01,2264861.01,197.179108
528280.01,2264961.01,199.094303
528280.01,2265061.01,200.323776
528280.01,2265161.01,202.111336
528280.01,2265261.01,202.90712
528280.01,2265361.01,203.018955
528280.01,2265461.01,203.005219
528280.01,2265561.01,203.554832
528280.01,2265661.01,206.308983
528280.01,2265761.01,208.197655
528280.01,2265861.01,210.202347
528280.01,2265961.01,211.878548
528280.01,2266061.01,213.395889
528280.01,2266161.01,215.838295
528280.01,2266261.01,215.134392
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,235.007233
528380.01,2260961.01,235.00956
528380.01,2261061.01,232.465515
528380.01,2261161.01,233.093422
528380.01,2261261.01,235.330093
528380.01,2261361.01,237.891796
528380.01,2261461.01,241.569569
528380.01,2261561.01,244.433273
528380.01,2261661.01,248.138588
528380.01,2261761.01,249.482925
528380.01,2261861.01,249.454956
528380.01,2261961.01,250.478409
528380.01,2262061.01,245.781181
528380.01,2262161.01,246.058853
528380.01,2262261.01,220.71563
528380.01,2262361.01,198.279236
528380.01,2262461.01,185.591576
528380.01,2262561.01,183.585556
528380.01,2262661.01,179.609108
528380.01,2262761.01,178.127037
528380.01,2262861.01,180.373322
528380.01,2262961.01,181.805138
528380.01,2263061.01,181.687561
528380.01,2263161.01,181.453903
528380.01,2263261.01,181.990585
528380.01,2263361.01,183.175335
528380.01,2263461.01,182.855804
528380.01,2263561.01,184.660835
528380.01,2263661.01,185.541199
528380.01,2263761.01,185.294788
528380.01,2263861.01,186.755035
528380.01,2263961.01,188.192768
528380.01,2264061.01,187.567642
528380.01,2264161.01,190.588058
528380.01,2264261.01,191.982025
528380.01,2264361.01,192.383865
528380.01,2264461.01,192.877342
528380.01,2264561.01,194.407509
528380.01,2264661.01,195.360126
528380.01,2264761.01,195.693802
528380.01,2264861.01,197.389816
528380.01,2264961.01,198.768875
528380.01,2265061.01,199.810619
528380.01,2265161.01,201.051659
528380.01,2265261.01,201.832695
528380.01,2265361.01,201.501785
528380.01,2265461.01,201.794495
528380.01,2265561.01,203.35331
528380.01,2265661.01,205.509354
528380.01,2265761.01,208.633591
528380.01,2265861.01,211.624329
528380.01,2265961.01,211.88253
528380.01,2266061.01,212.595383
528380.01,2266161.01,214.671928
528380.01,2266261.01,215.276215
528380.01,2266361.01,216.474152
528380.01,2266461.01,-9999
528480.01,2260861.01,-9999
528480.01,2260961.01,234.112827
528480.01,2261061.01,233.407532
528480.01,2261161.01,236.042294
528480.01,2261261.01,238.236755
528480.01,2261361.01,241.130539
528480.01,2261461.01,243.169312
528480.01,2261561.01,245.680325
528480.01,2261661.01,247.909241
528480.01,2261761.01,249.543484
528480.01,2261861.01,251.051819
528480.01,2261961.01,252.684891
528480.01,2262061.01,259.65329
528480.01,2262161.01,264.135803
528480.01,2262261.01,264.224655
528480.01,2262361.01,260.308594
528480.01,2262461.01,260.023209
528480.01,2262561.01,245.12677
528480.01,2262661.01,216.815628
528480.01,2262761.01,209.71817
528480.01,2262861.01,184.945053
528480.01,2262961.01,180.029007
528480.01,2263061.01,180.034794
528480.01,2263161.01,178.410461
528480.01,2263261.01,179.352036
528480.01,2263361.01,180.062515
528480.01,2263461.01,179.268349
528480.01,2263561.01,181.029819
528480.01,2263661.01,181.930603
528480.01,2263761.01,181.589989
528480.01,2263861.01,182.250519
528480.01,2263961.01,184.196098
528480.01,2264061.01,185.401787
528480.01,2264161.01,188.752277
528480.01,2264261.01,190.252548
528480.01,2264361.01,189.84864
528480.01,2264461.01,190.646851
528480.01,2264561.01,193.050156
528480.01,2264661.01,194.964394
528480.01,2264761.01,196.397812
528480.01,2264861.01,196.99514
