"X","Y","H40_Batho (TWT)"
527880.01,2261361.01,579.518646
527880.01,2261461.01,578.665833
527880.01,2261561.01,578.398987
527880.01,2261661.01,579.07428
527880.01,2261761.01,580.081863
527880.01,2261861.01,582.371887
527880.01,2261961.01,581.365723
527880.01,2262061.01,580.524445
527880.01,2262161.01,582.408997
527880.01,2262261.01,583.013184
527880.01,2262361.01,582.991302
527880.01,2262461.01,584.060089
527880.01,2262561.01,586.038116
527880.01,2262661.01,586.87561
527880.01,2262761.01,589.250732
527880.01,2262861.01,591.458252
527880.01,2262961.01,591.783539
527880.01,2263061.01,592.442551
527880.01,2263161.01,593.347321
527880.01,2263261.01,592.811615
527880.01,2263361.01,592.202667
527880.01,2263461.01,592.886475
527880.01,2263561.01,593.155106
527880.01,2263661.01,592.913727
527880.01,2263761.01,591.533203
527880.01,2263861.01,591.149231
527880.01,2263961.01,591.128479
527880.01,2264061.01,591.996277
527880.01,2264161.01,593.307129
527880.01,2264261.01,593.933685
527880.01,2264361.01,595.479324
527880.01,2264461.01,594.277344
527880.01,2264561.01,594.96991
527880.01,2264661.01,597.795441
527880.01,2264761.01,602.134583
527880.01,2264861.01,603.244095
527880.01,2264961.01,608.105988
527880.01,2265061.01,609.023468
527880.01,2265161.01,603.875916
527880.01,2265261.01,599.306885
527880.01,2265361.01,598.208862
527880.01,2265461.01,597.223572
527880.01,2265561.01,598.48056
527880.01,2265661.01,599.148102
527880.01,2265761.01,600.049744
527880.01,2265861.01,601.016205
527880.01,2265961.01,602.963501
527880.01,2266061.01,604.034363
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,-9999
527980.01,2261161.01,598.501221
527980.01,2261261.01,594.902405
527980.01,2261361.01,593.491837
527980.01,2261461.01,586.396667
527980.01,2261561.01,583.23288
527980.01,2261661.01,583.990845
527980.01,2261761.01,582.084229
527980.01,2261861.01,581.544861
527980.01,2261961.01,580.011139
527980.01,2262061.01,580.656799
527980.01,2262161.01,582.008301
527980.01,2262261.01,582.210327
527980.01,2262361.01,582.299194
527980.01,2262461.01,582.160126
527980.01,2262561.01,583.186157
527980.01,2262661.01,583.656204
527980.01,2262761.01,585.634369
527980.01,2262861.01,587.690292
527980.01,2262961.01,588.020752
527980.01,2263061.01,589.150238
527980.01,2263161.01,590.580872
527980.01,2263261.01,590.159637
527980.01,2263361.01,590.69632
527980.01,2263461.01,591.920776
527980.01,2263561.01,592.351013
527980.01,2263661.01,593.133972
527980.01,2263761.01,594.73053
527980.01,2263861.01,595.034668
527980.01,2263961.01,593.69928
527980.01,2264061.01,592.393463
527980.01,2264161.01,592.150726
527980.01,2264261.01,591.741516
527980.01,2264361.01,591.187805
527980.01,2264461.01,591.354492
527980.01,2264561.01,592.340591
527980.01,2264661.01,595.085419
527980.01,2264761.01,598.462067
527980.01,2264861.01,598.71759
527980.01,2264961.01,601.375885
527980.01,2265061.01,602.559357
527980.01,2265161.01,598.31366
527980.01,2265261.01,596.224777
527980.01,2265361.01,596.446747
527980.01,2265461.01,596.872131
527980.01,2265561.01,598.739807
527980.01,2265661.01,599.930542
527980.01,2265761.01,601.22699
527980.01,2265861.01,602.048752
527980.01,2265961.01,602.565826
527980.01,2266061.01,602.387634
527980.01,2266161.01,601.344971
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,601.340398
528080.01,2261161.01,600.623901
528080.01,2261261.01,599.084579
528080.01,2261361.01,598.720703
528080.01,2261461.01,596.668854
528080.01,2261561.01,594.238434
528080.01,2261661.01,592.081726
528080.01,2261761.01,587.67485
528080.01,2261861.01,583.678375
528080.01,2261961.01,581.08197
528080.01,2262061.01,580.56781
528080.01,2262161.01,581.398346
528080.01,2262261.01,581.154388
528080.01,2262361.01,580.746216
528080.01,2262461.01,580.67804
528080.01,2262561.01,580.393433
528080.01,2262661.01,581.233337
528080.01,2262761.01,582.805817
528080.01,2262861.01,581.761505
528080.01,2262961.01,583.263428
528080.01,2263061.01,584.995911
528080.01,2263161.01,586.639679
528080.01,2263261.01,586.704285
528080.01,2263361.01,587.973022
528080.01,2263461.01,589.878632
528080.01,2263561.01,590.189056
528080.01,2263661.01,591.912247
528080.01,2263761.01,593.450928
528080.01,2263861.01,594.002869
528080.01,2263961.01,594.578186
528080.01,2264061.01,593.500488
528080.01,2264161.01,592.475067
528080.01,2264261.01,591.287567
528080.01,2264361.01,589.873322
528080.01,2264461.01,589.378906
528080.01,2264561.01,590.819763
528080.01,2264661.01,593.566711
528080.01,2264761.01,595.877319
528080.01,2264861.01,596.200684
528080.01,2264961.01,596.751144
528080.01,2265061.01,597.514679
528080.01,2265161.01,595.747162
528080.01,2265261.01,591.896057
528080.01,2265361.01,594.167572
528080.01,2265461.01,594.040146
528080.01,2265561.01,596.87851
528080.01,2265661.01,599.0327
528080.01,2265761.01,599.59137
528080.01,2265861.01,600.065948
528080.01,2265961.01,600.808411
528080.01,2266061.01,600.299973
528080.01,2266161.01,599.670166
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,604.112762
528180.01,2261161.01,602.373047
528180.01,2261261.01,601.601196
528180.01,2261361.01,600.274292
528180.01,2261461.01,598.459778
528180.01,2261561.01,597.049988
528180.01,2261661.01,594.945007
528180.01,2261761.01,591.027588
528180.01,2261861.01,586.422974
528180.01,2261961.01,582.985733
528180.01,2262061.01,580.49234
528180.01,2262161.01,581.142441
528180.01,2262261.01,580.481812
528180.01,2262361.01,578.644226
528180.01,2262461.01,578.272095
528180.01,2262561.01,577.877182
528180.01,2262661.01,577.668701
528180.01,2262761.01,578.703979
528180.01,2262861.01,578.837402
528180.01,2262961.01,580.324371
528180.01,2263061.01,582.245422
528180.01,2263161.01,582.725449
528180.01,2263261.01,583.458099
528180.01,2263361.01,585.144928
528180.01,2263461.01,587.117111
528180.01,2263561.01,587.619629
528180.01,2263661.01,589.568542
528180.01,2263761.01,591.208679
528180.01,2263861.01,591.414413
528180.01,2263961.01,592.319458
528180.01,2264061.01,592.487152
528180.01,2264161.01,592.266968
528180.01,2264261.01,592.210541
528180.01,2264361.01,589.777039
528180.01,2264461.01,588.672714
528180.01,2264561.01,589.718674
528180.01,2264661.01,592.513702
528180.01,2264761.01,593.483246
528180.01,2264861.01,594.606384
528180.01,2264961.01,594.509216
528180.01,2265061.01,594.730621
528180.01,2265161.01,593.559357
528180.01,2265261.01,587.526123
528180.01,2265361.01,589.618256
528180.01,2265461.01,591.701355
528180.01,2265561.01,595.461823
528180.01,2265661.01,597.359924
528180.01,2265761.01,598.030304
528180.01,2265861.01,597.654984
528180.01,2265961.01,598.202972
528180.01,2266061.01,598.196777
528180.01,2266161.01,600.013489
528180.01,2266261.01,601.511246
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,606.477219
528280.01,2261161.01,604.677673
528280.01,2261261.01,604.253418
