"X","Y","H70_Arg_Lev (TWT)"
527880.01,2264861.01,718.941954
527880.01,2264961.01,725.862946
527880.01,2265061.01,714.007409
527880.01,2265161.01,714.2194
527880.01,2265261.01,714.553104
527880.01,2265361.01,715.4159
527880.01,2265461.01,717.180772
527880.01,2265561.01,717.850938
527880.01,2265661.01,718.958047
527880.01,2265761.01,718.746718
527880.01,2265861.01,721.823731
527880.01,2265961.01,724.278824
527880.01,2266061.01,719.601897
527880.01,2266161.01,716.976277
527880.01,2266261.01,716.125689
527980.01,2260961.01,-9999
527980.01,2261061.01,747.067444
527980.01,2261161.01,732.095272
527980.01,2261261.01,723.249086
527980.01,2261361.01,721.828731
527980.01,2261461.01,717.8862
527980.01,2261561.01,719.403923
527980.01,2261661.01,714.470821
527980.01,2261761.01,712.338649
527980.01,2261861.01,716.935553
527980.01,2261961.01,719.006579
527980.01,2262061.01,717.212939
527980.01,2262161.01,716.357011
527980.01,2262261.01,716.560523
527980.01,2262361.01,715.993705
527980.01,2262461.01,714.941991
527980.01,2262561.01,716.22255
527980.01,2262661.01,717.530471
527980.01,2262761.01,717.234556
527980.01,2262861.01,718.670183
527980.01,2262961.01,716.011122
527980.01,2263061.01,714.506427
527980.01,2263161.01,714.587831
527980.01,2263261.01,714.706971
527980.01,2263361.01,721.381536
527980.01,2263461.01,720.73758
527980.01,2263561.01,718.553205
527980.01,2263661.01,719.093099
527980.01,2263761.01,714.673953
527980.01,2263861.01,710.550153
527980.01,2263961.01,708.38821
527980.01,2264061.01,707.308255
527980.01,2264161.01,707.843767
527980.01,2264261.01,708.197732
527980.01,2264361.01,707.72532
527980.01,2264461.01,708.508889
527980.01,2264561.01,708.416522
527980.01,2264661.01,710.613664
527980.01,2264761.01,712.315212
527980.01,2264861.01,712.004167
527980.01,2264961.01,717.732758
527980.01,2265061.01,708.976395
527980.01,2265161.01,711.318834
527980.01,2265261.01,712.690097
527980.01,2265361.01,715.553066
527980.01,2265461.01,716.392854
527980.01,2265561.01,720.130987
527980.01,2265661.01,720.292518
527980.01,2265761.01,720.977361
527980.01,2265861.01,720.928706
527980.01,2265961.01,715.259924
527980.01,2266061.01,711.34858
527980.01,2266161.01,712.886426
527980.01,2266261.01,713.669749
528080.01,2260961.01,743.60083
528080.01,2261061.01,744.213527
528080.01,2261161.01,749.420223
528080.01,2261261.01,743.47849
528080.01,2261361.01,739.332604
528080.01,2261461.01,726.287466
528080.01,2261561.01,724.007937
528080.01,2261661.01,721.196387
528080.01,2261761.01,718.419695
528080.01,2261861.01,717.372113
528080.01,2261961.01,716.869679
528080.01,2262061.01,714.185683
528080.01,2262161.01,713.247557
528080.01,2262261.01,713.352266
528080.01,2262361.01,713.845051
528080.01,2262461.01,711.976248
528080.01,2262561.01,711.899448
528080.01,2262661.01,712.094909
528080.01,2262761.01,714.356268
528080.01,2262861.01,713.261227
528080.01,2262961.01,711.345016
528080.01,2263061.01,709.542902
528080.01,2263161.01,707.673979
528080.01,2263261.01,708.149977
528080.01,2263361.01,710.845761
528080.01,2263461.01,713.182121
528080.01,2263561.01,713.148256
528080.01,2263661.01,713.657611
528080.01,2263761.01,709.503087
528080.01,2263861.01,709.654515
528080.01,2263961.01,710.602366
528080.01,2264061.01,708.248676
528080.01,2264161.01,707.947463
528080.01,2264261.01,708.338303
528080.01,2264361.01,709.575734
528080.01,2264461.01,708.079951
528080.01,2264561.01,708.292482
528080.01,2264661.01,708.746643
528080.01,2264761.01,709.979753
528080.01,2264861.01,710.690173
528080.01,2264961.01,712.351155
528080.01,2265061.01,713.870651
528080.01,2265161.01,705.473537
528080.01,2265261.01,708.111459
528080.01,2265361.01,711.706332
528080.01,2265461.01,709.798806
528080.01,2265561.01,712.609103
528080.01,2265661.01,712.732523
528080.01,2265761.01,711.164467
528080.01,2265861.01,711.643709
528080.01,2265961.01,711.39171
528080.01,2266061.01,711.528882
528080.01,2266161.01,710.549562
528080.01,2266261.01,712.501213
528080.01,2266361.01,713.932691
528180.01,2260961.01,741.956482
528180.01,2261061.01,742.549876
528180.01,2261161.01,742.566825
528180.01,2261261.01,741.126504
528180.01,2261361.01,741.867577
528180.01,2261461.01,749.579188
528180.01,2261561.01,749.180637
528180.01,2261661.01,746.921035
528180.01,2261761.01,722.496739
528180.01,2261861.01,718.724842
528180.01,2261961.01,715.635491
528180.01,2262061.01,711.733478
528180.01,2262161.01,710.568011
528180.01,2262261.01,708.056155
528180.01,2262361.01,710.064022
528180.01,2262461.01,709.392615
528180.01,2262561.01,707.811619
528180.01,2262661.01,709.47372
528180.01,2262761.01,709.574036
528180.01,2262861.01,710.027494
528180.01,2262961.01,709.051052
528180.01,2263061.01,706.976001
528180.01,2263161.01,704.846507
528180.01,2263261.01,705.046118
528180.01,2263361.01,706.32965
528180.01,2263461.01,708.162947
528180.01,2263561.01,708.357044
528180.01,2263661.01,708.927408
528180.01,2263761.01,707.48874
528180.01,2263861.01,707.40495
528180.01,2263961.01,707.520822
528180.01,2264061.01,706.366797
528180.01,2264161.01,706.59667
528180.01,2264261.01,707.405996
528180.01,2264361.01,707.721365
528180.01,2264461.01,707.280816
528180.01,2264561.01,708.474206
528180.01,2264661.01,709.547161
528180.01,2264761.01,710.508067
528180.01,2264861.01,710.415714
528180.01,2264961.01,712.83069
528180.01,2265061.01,711.496672
528180.01,2265161.01,699.731365
528180.01,2265261.01,702.389281
528180.01,2265361.01,705.388408
528180.01,2265461.01,705.451201
528180.01,2265561.01,707.606627
528180.01,2265661.01,709.942789
528180.01,2265761.01,710.006641
528180.01,2265861.01,710.118008
528180.01,2265961.01,711.402553
528180.01,2266061.01,712.695169
528180.01,2266161.01,715.890794
528180.01,2266261.01,714.324144
528180.01,2266361.01,713.283918
528280.01,2260861.01,-9999
