"X","Y","H04_Cenom (TWT)"
528180.01,2261061.01,85.1979065
528180.01,2261161.01,86.1779556
528180.01,2261261.01,88.7055244
528180.01,2261361.01,91.6830902
528180.01,2261461.01,94.718935
528180.01,2261561.01,96.5115662
528180.01,2261661.01,100.629799
528180.01,2261761.01,100.495438
528180.01,2261861.01,93.2304001
528180.01,2261961.01,104.17606
528180.01,2262061.01,83.9219284
528180.01,2262161.01,70.7588749
528180.01,2262261.01,68.4819336
528180.01,2262361.01,63.7304935
528180.01,2262461.01,62.3316917
528180.01,2262561.01,61.2160959
528180.01,2262661.01,61.9910393
528180.01,2262761.01,64.2194948
528180.01,2262861.01,63.846302
528180.01,2262961.01,64.4065857
528180.01,2263061.01,66.1878967
528180.01,2263161.01,65.4876328
528180.01,2263261.01,64.9263935
528180.01,2263361.01,66.1249733
528180.01,2263461.01,67.8137894
528180.01,2263561.01,68.1255493
528180.01,2263661.01,68.9819298
528180.01,2263761.01,69.8131104
528180.01,2263861.01,70.5205364
528180.01,2263961.01,72.3891449
528180.01,2264061.01,75.6966305
528180.01,2264161.01,76.7674332
528180.01,2264261.01,78.0723763
528180.01,2264361.01,80.7990112
528180.01,2264461.01,80.5472736
528180.01,2264561.01,79.1126003
528180.01,2264661.01,80.026989
528180.01,2264761.01,76.022789
528180.01,2264861.01,76.9603424
528180.01,2264961.01,78.7933044
528180.01,2265061.01,79.6088715
528180.01,2265161.01,81.4050999
528180.01,2265261.01,82.953331
528180.01,2265361.01,81.846487
528180.01,2265461.01,80.8453064
528180.01,2265561.01,83.0931244
528180.01,2265661.01,83.9106674
528180.01,2265761.01,84.2106743
528180.01,2265861.01,88.1967945
528180.01,2265961.01,91.5921822
528180.01,2266061.01,92.2363739
528180.01,2266161.01,90.9885941
528180.01,2266261.01,91.0304794
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,90.1674271
528280.01,2261161.01,92.6111259
528280.01,2261261.01,96.5748634
528280.01,2261361.01,102.206139
528280.01,2261461.01,108.501064
528280.01,2261561.01,114.318253
528280.01,2261661.01,119.027731
528280.01,2261761.01,121.385834
528280.01,2261861.01,125.233238
528280.01,2261961.01,126.066284
528280.01,2262061.01,117.47823
528280.01,2262161.01,97.5099411
528280.01,2262261.01,94.9354725
528280.01,2262361.01,91.0804195
528280.01,2262461.01,76.1096497
528280.01,2262561.01,74.8693848
528280.01,2262661.01,63.598175
528280.01,2262761.01,62.0973568
528280.01,2262861.01,62.707428
528280.01,2262961.01,63.8447151
528280.01,2263061.01,63.4968319
528280.01,2263161.01,62.5555592
528280.01,2263261.01,63.028656
528280.01,2263361.01,64.3226471
528280.01,2263461.01,64.4967155
528280.01,2263561.01,65.7771893
528280.01,2263661.01,66.3909874
528280.01,2263761.01,65.6042709
528280.01,2263861.01,66.7576218
528280.01,2263961.01,69.1647644
528280.01,2264061.01,71.9519234
528280.01,2264161.01,72.4654922
528280.01,2264261.01,73.4131184
528280.01,2264361.01,74.9122086
528280.01,2264461.01,74.3271103
