"X","Y","H80_r3a (TWT)"
527680.01,2264861.01,774.142151
527680.01,2264961.01,775.019836
527680.01,2265061.01,770.577606
527680.01,2265161.01,770.78746
527680.01,2265261.01,770.273193
527680.01,2265361.01,771.143677
527680.01,2265461.01,772.0354
527680.01,2265561.01,771.253235
527680.01,2265661.01,771.699249
527680.01,2265761.01,771.083939
527680.01,2265861.01,769.887085
527680.01,2265961.01,769.454926
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,774.31427
527780.01,2261261.01,774.82251
527780.01,2261361.01,773.747635
527780.01,2261461.01,775.407867
527780.01,2261561.01,776.1716
527780.01,2261661.01,772.798584
527780.01,2261761.01,774.17218
527780.01,2261861.01,775.38797
527780.01,2261961.01,775.40918
527780.01,2262061.01,774.548401
527780.01,2262161.01,772.976074
527780.01,2262261.01,773.376755
527780.01,2262361.01,772.48938
527780.01,2262461.01,775.13089
527780.01,2262561.01,780.579041
527780.01,2262661.01,781.051514
527780.01,2262761.01,783.139191
527780.01,2262861.01,785.804108
527780.01,2262961.01,784.603119
527780.01,2263061.01,787.574524
527780.01,2263161.01,791.595642
527780.01,2263261.01,792.845398
527780.01,2263361.01,789.387863
527780.01,2263461.01,767.286987
527780.01,2263561.01,736.606384
527780.01,2263661.01,732.289856
527780.01,2263761.01,723.898224
527780.01,2263861.01,722.742676
527780.01,2263961.01,725.467712
527780.01,2264061.01,731.031982
527780.01,2264161.01,736.557312
527780.01,2264261.01,739.152588
527780.01,2264361.01,742.964417
527780.01,2264461.01,746.767639
527780.01,2264561.01,749.710327
527780.01,2264661.01,756.272049
527780.01,2264761.01,767.250916
527780.01,2264861.01,771.449158
527780.01,2264961.01,771.681335
527780.01,2265061.01,764.066986
527780.01,2265161.01,764.445984
527780.01,2265261.01,766.461411
527780.01,2265361.01,768.447662
527780.01,2265461.01,770.271408
527780.01,2265561.01,767.753906
527780.01,2265661.01,768.871399
527780.01,2265761.01,770.090271
527780.01,2265861.01,770.462799
527780.01,2265961.01,770.335358
527780.01,2266061.01,771.07959
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,775.237915
527880.01,2261261.01,773.217499
527880.01,2261361.01,772.651184
527880.01,2261461.01,770.85437
527880.01,2261561.01,769.639709
527880.01,2261661.01,769.806335
527880.01,2261761.01,770.877869
527880.01,2261861.01,772.651215
527880.01,2261961.01,772.661407
527880.01,2262061.01,771.154755
527880.01,2262161.01,770.030823
527880.01,2262261.01,769.554138
527880.01,2262361.01,768.085388
527880.01,2262461.01,769.049149
527880.01,2262561.01,772.467438
527880.01,2262661.01,774.378326
527880.01,2262761.01,778.350647
527880.01,2262861.01,780.329681
527880.01,2262961.01,780.151611
527880.01,2263061.01,782.324493
527880.01,2263161.01,784.746582
527880.01,2263261.01,785.625092
527880.01,2263361.01,784.328491
