"X","Y","H60_Charm (TWT)"
527880.01,2265361.01,691.860229
527880.01,2265461.01,693.287949
527880.01,2265561.01,693.414246
527880.01,2265661.01,694.354309
527880.01,2265761.01,695.807678
527880.01,2265861.01,693.908051
527880.01,2265961.01,693.819031
527880.01,2266061.01,693.38916
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,-9999
527980.01,2261161.01,698.4841
527980.01,2261261.01,688.446838
527980.01,2261361.01,685.337402
527980.01,2261461.01,677.409119
527980.01,2261561.01,675.75029
527980.01,2261661.01,676.72467
527980.01,2261761.01,675.698547
527980.01,2261861.01,674.961792
527980.01,2261961.01,674.929321
527980.01,2262061.01,675.487213
527980.01,2262161.01,676.827347
527980.01,2262261.01,676.433167
527980.01,2262361.01,675.748932
527980.01,2262461.01,675.54361
527980.01,2262561.01,676.940613
527980.01,2262661.01,677.684738
527980.01,2262761.01,680.148712
527980.01,2262861.01,682.08548
527980.01,2262961.01,682.213623
527980.01,2263061.01,683.360565
527980.01,2263161.01,685.251343
527980.01,2263261.01,685.02771
527980.01,2263361.01,686.284576
527980.01,2263461.01,687.38063
527980.01,2263561.01,687.433411
527980.01,2263661.01,688.469238
527980.01,2263761.01,687.887329
527980.01,2263861.01,686.140442
527980.01,2263961.01,684.058456
527980.01,2264061.01,681.750549
527980.01,2264161.01,680.536774
527980.01,2264261.01,678.345215
527980.01,2264361.01,677.433228
527980.01,2264461.01,677.570557
527980.01,2264561.01,678.477539
527980.01,2264661.01,680.662384
527980.01,2264761.01,682.86232
527980.01,2264861.01,683.106506
527980.01,2264961.01,687.944855
527980.01,2265061.01,686.112091
527980.01,2265161.01,681.569946
527980.01,2265261.01,683.869705
527980.01,2265361.01,688.580353
527980.01,2265461.01,690.695557
527980.01,2265561.01,692.615112
527980.01,2265661.01,691.788788
527980.01,2265761.01,692.579193
527980.01,2265861.01,693.217148
527980.01,2265961.01,692.52356
527980.01,2266061.01,690.613495
527980.01,2266161.01,689.104126
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,699.640884
528080.01,2261161.01,700.075378
528080.01,2261261.01,699.941254
528080.01,2261361.01,699.426392
528080.01,2261461.01,691.589661
528080.01,2261561.01,687.842285
528080.01,2261661.01,686.052399
528080.01,2261761.01,682.612778
528080.01,2261861.01,678.952881
528080.01,2261961.01,677.55777
528080.01,2262061.01,676.682129
528080.01,2262161.01,676.558533
528080.01,2262261.01,675.75177
528080.01,2262361.01,675.007034
528080.01,2262461.01,675.055695
528080.01,2262561.01,674.671021
528080.01,2262661.01,675.211487
528080.01,2262761.01,677.512451
528080.01,2262861.01,676.933334
528080.01,2262961.01,678.065643
528080.01,2263061.01,679.186371
528080.01,2263161.01,680.169678
528080.01,2263261.01,680.113312
528080.01,2263361.01,681.593811
528080.01,2263461.01,683.290649
528080.01,2263561.01,684.094391
528080.01,2263661.01,686.021118
528080.01,2263761.01,687.52533
528080.01,2263861.01,686.437073
528080.01,2263961.01,683.40094
528080.01,2264061.01,681.651611
528080.01,2264161.01,679.87117
528080.01,2264261.01,679.420227
528080.01,2264361.01,678.449509
528080.01,2264461.01,678.032654
528080.01,2264561.01,679.28244
528080.01,2264661.01,680.909119
528080.01,2264761.01,682.712128
528080.01,2264861.01,682.919189
528080.01,2264961.01,682.940292
528080.01,2265061.01,683.219849
528080.01,2265161.01,677.960083
528080.01,2265261.01,678.744019
