"X","Y","H50_Aal (TWT)"
527480.01,2263361.01,611.473511
527480.01,2263461.01,608.415375
527480.01,2263561.01,606.60614
527480.01,2263661.01,606.389038
527480.01,2263761.01,607.44458
527480.01,2263861.01,609.578491
527480.01,2263961.01,611.16156
527480.01,2264061.01,614.34964
527480.01,2264161.01,619.685974
527480.01,2264261.01,627.122498
527480.01,2264361.01,630.836227
527480.01,2264461.01,638.020233
527480.01,2264561.01,645.08197
527480.01,2264661.01,648.906677
527480.01,2264761.01,655.20282
527480.01,2264861.01,661.974121
527480.01,2264961.01,665.309219
527480.01,2265061.01,667.991821
527480.01,2265161.01,671.298233
527480.01,2265261.01,674.189514
527480.01,2265361.01,675.583405
527480.01,2265461.01,673.252136
527480.01,2265561.01,657.702423
527480.01,2265661.01,653.614441
527480.01,2265761.01,649.418152
527480.01,2265861.01,645.795135
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,627.297302
527580.01,2261361.01,628.355835
527580.01,2261461.01,628.655136
527580.01,2261561.01,631.094025
527580.01,2261661.01,632.894272
527580.01,2261761.01,632.766846
527580.01,2261861.01,631.368591
527580.01,2261961.01,629.941345
527580.01,2262061.01,628.236465
527580.01,2262161.01,628.340271
527580.01,2262261.01,628.901367
527580.01,2262361.01,630.185791
527580.01,2262461.01,632.72168
527580.01,2262561.01,636.426758
527580.01,2262661.01,638.145508
527580.01,2262761.01,638.680603
527580.01,2262861.01,636.213898
527580.01,2262961.01,633.030792
527580.01,2263061.01,632.33606
527580.01,2263161.01,629.259033
527580.01,2263261.01,621.850159
527580.01,2263361.01,630.083221
527580.01,2263461.01,615.779816
527580.01,2263561.01,607.508362
527580.01,2263661.01,606.890198
527580.01,2263761.01,607.039978
527580.01,2263861.01,608.671722
527580.01,2263961.01,609.401855
527580.01,2264061.01,611.680435
527580.01,2264161.01,615.38382
527580.01,2264261.01,618.000305
527580.01,2264361.01,625.939209
527580.01,2264461.01,634.56189
527580.01,2264561.01,642.242126
527580.01,2264661.01,647.176056
527580.01,2264761.01,653.858368
527580.01,2264861.01,660.287079
527580.01,2264961.01,663.740234
527580.01,2265061.01,667.596252
527580.01,2265161.01,669.203156
527580.01,2265261.01,664.533539
527580.01,2265361.01,659.245361
527580.01,2265461.01,655.690613
527580.01,2265561.01,652.290314
527580.01,2265661.01,650.090759
527580.01,2265761.01,646.779907
527580.01,2265861.01,644.551575
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,626.479263
527680.01,2261361.01,626.695374
527680.01,2261461.01,626.974335
527680.01,2261561.01,628.209778
527680.01,2261661.01,630.049194
527680.01,2261761.01,630.472595
527680.01,2261861.01,630.759048
527680.01,2261961.01,629.415131
527680.01,2262061.01,628.949493
527680.01,2262161.01,629.237854
527680.01,2262261.01,630.005066
527680.01,2262361.01,630.819153
527680.01,2262461.01,632.808105
527680.01,2262561.01,635.385452
527680.01,2262661.01,636.678955
527680.01,2262761.01,639.506195
527680.01,2262861.01,640.170227
527680.01,2262961.01,640.013046
527680.01,2263061.01,639.766235
527680.01,2263161.01,639.494858
527680.01,2263261.01,640.031647
527680.01,2263361.01,640.415802
527680.01,2263461.01,634.103516
527680.01,2263561.01,619.768982
527680.01,2263661.01,616.88855
527680.01,2263761.01,609.4104
527680.01,2263861.01,610.410706
527680.01,2263961.01,611.943359
527680.01,2264061.01,613.940552
527680.01,2264161.01,616.387207
527680.01,2264261.01,619.705933
527680.01,2264361.01,624.587585
527680.01,2264461.01,631.944092
527680.01,2264561.01,637.097839
527680.01,2264661.01,644.807098
527680.01,2264761.01,651.367249
527680.01,2264861.01,654.054657
527680.01,2264961.01,658.667938
527680.01,2265061.01,660.696823
527680.01,2265161.01,648.457565
527680.01,2265261.01,646.720276
527680.01,2265361.01,647.961365
527680.01,2265461.01,648.973022
527680.01,2265561.01,648.45755
527680.01,2265661.01,647.641571
527680.01,2265761.01,645.46637
527680.01,2265861.01,644.617432
527680.01,2265961.01,644.381195
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,625.475098
527780.01,2261261.01,625.447754
527780.01,2261361.01,625.588791
527780.01,2261461.01,625.872833
527780.01,2261561.01,626.452026
527780.01,2261661.01,625.649261
527780.01,2261761.01,627.687195
527780.01,2261861.01,629.042542
527780.01,2261961.01,628.066528
527780.01,2262061.01,628.131348
527780.01,2262161.01,628.907227
527780.01,2262261.01,629.454163
527780.01,2262361.01,629.581482
527780.01,2262461.01,631.217499
