"X","Y","H50_Aal (Depth)"
527580.01,2264461.01,887.514831543
527580.01,2264561.01,891.409790039
527580.01,2264661.01,883.625793457
527580.01,2264761.01,891.237548828
527580.01,2264861.01,925.837646484
527580.01,2264961.01,926.46661377
527580.01,2265061.01,934.715698242
527580.01,2265161.01,935.347473145
527580.01,2265261.01,931.96862793
527580.01,2265361.01,891.500854492
527580.01,2265461.01,901.37487793
527580.01,2265561.01,901.37487793
527580.01,2265661.01,901.37487793
527580.01,2265761.01,901.067687988
527580.01,2265861.01,899.748291016
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,889.670654297
527680.01,2261261.01,889.670654297
527680.01,2261361.01,891.30065918
527680.01,2261461.01,892.483886719
527680.01,2261561.01,895.017822266
527680.01,2261661.01,896.60357666
527680.01,2261761.01,896.290710449
527680.01,2261861.01,896.712768555
527680.01,2261961.01,894.244750977
527680.01,2262061.01,891.10925293
527680.01,2262161.01,891.001159668
527680.01,2262261.01,892.732666016
527680.01,2262361.01,894.583435059
527680.01,2262461.01,896.632019043
527680.01,2262561.01,900.830078125
527680.01,2262661.01,902.801879883
527680.01,2262761.01,904.800292969
527680.01,2262861.01,905.785583496
527680.01,2262961.01,906.12512207
527680.01,2263061.01,906.195739746
527680.01,2263161.01,906.084655762
527680.01,2263261.01,906.094238281
527680.01,2263361.01,906.094238281
527680.01,2263461.01,906.094238281
527680.01,2263561.01,853.897949219
527680.01,2263661.01,854.766052246
527680.01,2263761.01,855.358398438
527680.01,2263861.01,857.307556152
527680.01,2263961.01,858.532714844
527680.01,2264061.01,860.320495605
527680.01,2264161.01,862.276855469
527680.01,2264261.01,863.808654785
527680.01,2264361.01,869.314941406
527680.01,2264461.01,875.416259766
527680.01,2264561.01,876.28302002
527680.01,2264661.01,881.268249512
527680.01,2264761.01,925.219970703
527680.01,2264861.01,925.631835938
527680.01,2264961.01,925.837646484
527680.01,2265061.01,924.334472656
527680.01,2265161.01,892.47644043
527680.01,2265261.01,891.93548584
527680.01,2265361.01,891.500854492
527680.01,2265461.01,900.808959961
527680.01,2265561.01,901.131103516
527680.01,2265661.01,901.855041504
527680.01,2265761.01,901.442687988
527680.01,2265861.01,901.725769043
527680.01,2265961.01,902.233703613
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,889.907592773
527780.01,2261261.01,890.198791504
527780.01,2261361.01,890.230651855
527780.01,2261461.01,890.391052246
527780.01,2261561.01,892.22668457
527780.01,2261661.01,890.238830566
527780.01,2261761.01,892.48034668
527780.01,2261861.01,894.469238281
527780.01,2261961.01,890.905700684
527780.01,2262061.01,889.698059082
527780.01,2262161.01,891.068908691
527780.01,2262261.01,893.352783203
527780.01,2262361.01,895.195800781
527780.01,2262461.01,897.741210938
527780.01,2262561.01,900.076416016
527780.01,2262661.01,901.830688477
527780.01,2262761.01,904.536987305
527780.01,2262861.01,906.098266602
527780.01,2262961.01,905.905517578
527780.01,2263061.01,906.185668945
527780.01,2263161.01,906.351989746
527780.01,2263261.01,906.001708984
527780.01,2263361.01,905.740478516
527780.01,2263461.01,905.548339844
527780.01,2263561.01,905.630432129
527780.01,2263661.01,905.630432129
527780.01,2263761.01,905.630432129
527780.01,2263861.01,905.630432129
527780.01,2263961.01,905.630432129
527780.01,2264061.01,860.873596191
527780.01,2264161.01,862.166320801
527780.01,2264261.01,864.946960449
527780.01,2264361.01,867.592407227
527780.01,2264461.01,873.985290527
527780.01,2264561.01,889.493041992
527780.01,2264661.01,891.586486816
527780.01,2264761.01,889.666931152
527780.01,2264861.01,893.760498047
527780.01,2264961.01,893.594055176
527780.01,2265061.01,893.594055176
527780.01,2265161.01,893.594055176
527780.01,2265261.01,892.837097168
527780.01,2265361.01,891.500854492
527780.01,2265461.01,899.346435547
527780.01,2265561.01,899.621337891
527780.01,2265661.01,901.5390625
527780.01,2265761.01,902.962463379
527780.01,2265861.01,903.860046387
527780.01,2265961.01,905.023254395
527780.01,2266061.01,906.625305176
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,910.141601563
527880.01,2261261.01,890.144470215
527880.01,2261361.01,890.01184082
527880.01,2261461.01,889.765380859
527880.01,2261561.01,889.668518066
527880.01,2261661.01,888.851745605
527880.01,2261761.01,889.700439453
527880.01,2261861.01,892.251220703
527880.01,2261961.01,890.798522949
527880.01,2262061.01,889.482543945
527880.01,2262161.01,891.751281738
527880.01,2262261.01,894.06439209
527880.01,2262361.01,895.089050293
527880.01,2262461.01,896.406860352
527880.01,2262561.01,898.870422363
527880.01,2262661.01,899.801269531
527880.01,2262761.01,902.604003906
527880.01,2262861.01,904.543762207
527880.01,2262961.01,904.933349609
527880.01,2263061.01,905.023498535
527880.01,2263161.01,905.955078125
527880.01,2263261.01,905.123718262
527880.01,2263361.01,904.743225098
527880.01,2263461.01,904.956481934
527880.01,2263561.01,905.459655762
527880.01,2263661.01,905.727966309
527880.01,2263761.01,905.593811035
527880.01,2263861.01,905.663879395
527880.01,2263961.01,905.645935059
527880.01,2264061.01,905.489318848
527880.01,2264161.01,904.53137207
527880.01,2264261.01,902.973510742
527880.01,2264361.01,899.23828125
527880.01,2264461.01,876.193603516
527880.01,2264561.01,880.463317871
527880.01,2264661.01,889.193847656
527880.01,2264761.01,890.764099121
527880.01,2264861.01,893.613586426
527880.01,2264961.01,894.647460938
527880.01,2265061.01,900.364562988
527880.01,2265161.01,894.49597168
527880.01,2265261.01,895.048706055
527880.01,2265361.01,893.334228516
527880.01,2265461.01,895.331115723
527880.01,2265561.01,898.698974609
527880.01,2265661.01,901.443664551
527880.01,2265761.01,903.471313477
527880.01,2265861.01,905.399414063
527880.01,2265961.01,908.302001953
527880.01,2266061.01,908.996398926
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,909.660461426
527980.01,2261161.01,910.141601563
527980.01,2261261.01,910.141601563
527980.01,2261361.01,910.141601563
527980.01,2261461.01,889.467773438
527980.01,2261561.01,889.467773438
527980.01,2261661.01,889.414916992
527980.01,2261761.01,889.23248291
527980.01,2261861.01,891.139160156
527980.01,2261961.01,891.485717773
527980.01,2262061.01,889.16809082
527980.01,2262161.01,891.176147461
527980.01,2262261.01,892.502746582
527980.01,2262361.01,894.340576172
527980.01,2262461.01,894.63659668
527980.01,2262561.01,896.140808105
527980.01,2262661.01,896.839477539
527980.01,2262761.01,898.708740234
527980.01,2262861.01,900.648071289
527980.01,2262961.01,900.616577148
527980.01,2263061.01,901.588806152
527980.01,2263161.01,902.920898438
527980.01,2263261.01,902.100036621
527980.01,2263361.01,902.649658203
527980.01,2263461.01,904.186645508
527980.01,2263561.01,904.852600098
527980.01,2263661.01,905.486633301
527980.01,2263761.01,905.901062012
527980.01,2263861.01,904.54888916
527980.01,2263961.01,903.565002441
527980.01,2264061.01,902.686340332
527980.01,2264161.01,901.220092773
527980.01,2264261.01,900.663818359
527980.01,2264361.01,882.844299316
527980.01,2264461.01,886.999023438
527980.01,2264561.01,889.38482666
527980.01,2264661.01,890.898803711
527980.01,2264761.01,892.702941895
527980.01,2264861.01,892.969482422
527980.01,2264961.01,896.290222168
527980.01,2265061.01,899.378723145
527980.01,2265161.01,898.272583008
527980.01,2265261.01,896.983886719
527980.01,2265361.01,895.709838867
527980.01,2265461.01,896.721130371
527980.01,2265561.01,899.806762695
527980.01,2265661.01,902.58190918
527980.01,2265761.01,904.995239258
527980.01,2265861.01,907.774475098
527980.01,2265961.01,908.142883301
527980.01,2266061.01,906.617126465
527980.01,2266161.01,904.698608398
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,909.846679688
528080.01,2261161.01,910.041625977
528080.01,2261261.01,910.141601563
528080.01,2261361.01,910.141601563
528080.01,2261461.01,910.141601563
528080.01,2261561.01,903.195007324
528080.01,2261661.01,888.900268555
528080.01,2261761.01,888.900268555
528080.01,2261861.01,888.900268555
528080.01,2261961.01,893.358398438
528080.01,2262061.01,892.592468262
528080.01,2262161.01,890.185546875
528080.01,2262261.01,890.78338623
528080.01,2262361.01,893.737854004
528080.01,2262461.01,893.836120605
528080.01,2262561.01,893.270324707
528080.01,2262661.01,893.953979492
528080.01,2262761.01,895.182861328
528080.01,2262861.01,893.090820313
528080.01,2262961.01,894.180725098
528080.01,2263061.01,896.568481445
528080.01,2263161.01,898.393493652
528080.01,2263261.01,898.422912598
528080.01,2263361.01,899.335449219
528080.01,2263461.01,901.320739746
528080.01,2263561.01,901.574462891
528080.01,2263661.01,903.650756836
528080.01,2263761.01,905.017333984
528080.01,2263861.01,904.351135254
528080.01,2263961.01,902.568969727
528080.01,2264061.01,898.997802734
528080.01,2264161.01,896.529296875
528080.01,2264261.01,893.731628418
528080.01,2264361.01,889.813659668
528080.01,2264461.01,889.193847656
528080.01,2264561.01,889.608947754
528080.01,2264661.01,894.660705566
528080.01,2264761.01,895.392150879
528080.01,2264861.01,895.840270996
528080.01,2264961.01,898.384765625
528080.01,2265061.01,900.135559082
528080.01,2265161.01,898.215454102
528080.01,2265261.01,893.323791504
528080.01,2265361.01,894.102600098
528080.01,2265461.01,894.812316895
528080.01,2265561.01,898.368774414
528080.01,2265661.01,901.405395508
528080.01,2265761.01,902.377868652
528080.01,2265861.01,904.25378418
528080.01,2265961.01,904.755004883
528080.01,2266061.01,903.46307373
528080.01,2266161.01,902.689941406
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,908.35333252
528180.01,2261161.01,901.352172852
528180.01,2261261.01,912.439331055
528180.01,2261361.01,909.004577637
528180.01,2261461.01,909.355957031
528180.01,2261561.01,908.507324219
528180.01,2261661.01,904.900390625
528180.01,2261761.01,888.900268555
528180.01,2261861.01,883.686279297
528180.01,2261961.01,883.686279297
528180.01,2262061.01,893.850585938
528180.01,2262161.01,889.124938965
528180.01,2262261.01,893.850585938
528180.01,2262361.01,893.793640137
528180.01,2262461.01,893.732421875
528180.01,2262561.01,893.246459961
528180.01,2262661.01,890.602416992
528180.01,2262761.01,890.543640137
528180.01,2262861.01,889.897583008
528180.01,2262961.01,891.074951172
528180.01,2263061.01,893.268432617
528180.01,2263161.01,894.216430664
528180.01,2263261.01,895.279052734
528180.01,2263361.01,896.635375977
528180.01,2263461.01,898.694885254
528180.01,2263561.01,899.090698242
528180.01,2263661.01,900.643188477
528180.01,2263761.01,901.737060547
528180.01,2263861.01,901.270935059
528180.01,2263961.01,900.083374023
528180.01,2264061.01,898.780944824
528180.01,2264161.01,897.315063477
528180.01,2264261.01,896.151733398
528180.01,2264361.01,891.469787598
528180.01,2264461.01,890.055419922
528180.01,2264561.01,890.62121582
528180.01,2264661.01,894.1328125
528180.01,2264761.01,895.881408691
528180.01,2264861.01,897.26159668
528180.01,2264961.01,898.359008789
528180.01,2265061.01,898.230285645
528180.01,2265161.01,896.992370605
528180.01,2265261.01,886.19909668
528180.01,2265361.01,890.358703613
528180.01,2265461.01,892.333679199
528180.01,2265561.01,895.997070313
528180.01,2265661.01,899.199157715
528180.01,2265761.01,900.574523926
528180.01,2265861.01,901.696166992
528180.01,2265961.01,902.165588379
528180.01,2266061.01,901.998657227
528180.01,2266161.01,903.948120117
528180.01,2266261.01,906.349304199
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,901.806152344
528280.01,2261161.01,902.772460938
528280.01,2261261.01,903.109130859
528280.01,2261361.01,905.205749512
528280.01,2261461.01,904.33770752
528280.01,2261561.01,904.472229004
528280.01,2261661.01,901.796630859
528280.01,2261761.01,901.043151855
528280.01,2261861.01,898.912231445
528280.01,2261961.01,883.686279297
528280.01,2262061.01,893.850585938
528280.01,2262161.01,893.850585938
528280.01,2262261.01,893.850585938
528280.01,2262361.01,893.850585938
528280.01,2262461.01,888.463989258
528280.01,2262561.01,887.897766113
528280.01,2262661.01,888.135986328
528280.01,2262761.01,887.891967773
528280.01,2262861.01,885.99810791
528280.01,2262961.01,887.182678223
528280.01,2263061.01,889.547058105
528280.01,2263161.01,890.436767578
528280.01,2263261.01,892.803405762
528280.01,2263361.01,894.555480957
528280.01,2263461.01,894.700134277
528280.01,2263561.01,896.309143066
528280.01,2263661.01,896.53704834
528280.01,2263761.01,897.015930176
528280.01,2263861.01,897.91418457
528280.01,2263961.01,897.988769531
528280.01,2264061.01,897.140136719
528280.01,2264161.01,895.617797852
528280.01,2264261.01,893.849609375
528280.01,2264361.01,890.833557129
528280.01,2264461.01,888.775878906
528280.01,2264561.01,890.18145752
528280.01,2264661.01,893.75378418
528280.01,2264761.01,895.949707031
528280.01,2264861.01,897.840148926
528280.01,2264961.01,897.639343262
528280.01,2265061.01,896.820251465
528280.01,2265161.01,897.076599121
528280.01,2265261.01,884.826049805
528280.01,2265361.01,886.867492676
528280.01,2265461.01,891.235717773
528280.01,2265561.01,894.869384766
528280.01,2265661.01,898.065856934
528280.01,2265761.01,899.368896484
528280.01,2265861.01,900.688171387
528280.01,2265961.01,901.764221191
528280.01,2266061.01,902.82220459
528280.01,2266161.01,906.047424316
528280.01,2266261.01,909.400390625
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,907.70513916
528380.01,2260961.01,906.071166992
528380.01,2261061.01,903.432128906
528380.01,2261161.01,899.249145508
528380.01,2261261.01,898.32623291
528380.01,2261361.01,900.94519043
528380.01,2261461.01,899.216247559
528380.01,2261561.01,897.282409668
528380.01,2261661.01,894.651794434
528380.01,2261761.01,887.16229248
528380.01,2261861.01,883.686279297
528380.01,2261961.01,883.686279297
528380.01,2262061.01,873.568603516
528380.01,2262161.01,874.030029297
528380.01,2262261.01,886.227722168
