"X","Y","H20_Kimm (Depth)"
528180.01,2261361.01,292.73059082
528180.01,2261461.01,295.514038086
528180.01,2261561.01,233.789550781
528180.01,2261661.01,233.893753052
528180.01,2261761.01,235.447311401
528180.01,2261861.01,233.514083862
528180.01,2261961.01,229.680130005
528180.01,2262061.01,228.771621704
528180.01,2262161.01,229.855133057
528180.01,2262261.01,227.540435791
528180.01,2262361.01,225.991134644
528180.01,2262461.01,225.654708862
528180.01,2262561.01,224.955505371
528180.01,2262661.01,226.394958496
528180.01,2262761.01,228.448272705
528180.01,2262861.01,229.146224976
528180.01,2262961.01,231.044998169
528180.01,2263061.01,232.939407349
528180.01,2263161.01,232.342102051
528180.01,2263261.01,232.737701416
528180.01,2263361.01,234.932022095
528180.01,2263461.01,236.816726685
528180.01,2263561.01,237.717483521
528180.01,2263661.01,240.258117676
528180.01,2263761.01,243.032073975
528180.01,2263861.01,245.064865112
528180.01,2263961.01,249.598022461
528180.01,2264061.01,252.318405151
528180.01,2264161.01,253.515213013
528180.01,2264261.01,256.574279785
528180.01,2264361.01,260.65411377
528180.01,2264461.01,262.07409668
528180.01,2264561.01,262.02746582
528180.01,2264661.01,262.041473389
528180.01,2264761.01,262.083862305
528180.01,2264861.01,262.127990723
528180.01,2264961.01,263.152099609
528180.01,2265061.01,264.209350586
528180.01,2265161.01,265.903289795
528180.01,2265261.01,268.47555542
528180.01,2265361.01,270.012298584
528180.01,2265461.01,270.012298584
528180.01,2265561.01,270.012298584
528180.01,2265661.01,258.085449219
528180.01,2265761.01,258.557952881
528180.01,2265861.01,259.887939453
528180.01,2265961.01,261.872802734
528180.01,2266061.01,262.988616943
528180.01,2266161.01,262.112670898
528180.01,2266261.01,260.85269165
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,270.102844238
528280.01,2261061.01,270.729675293
528280.01,2261161.01,271.950469971
528280.01,2261261.01,275.295288086
528280.01,2261361.01,283.817596436
528280.01,2261461.01,294.629089355
528280.01,2261561.01,294.723846436
528280.01,2261661.01,300.86227417
528280.01,2261761.01,261.120330811
528280.01,2261861.01,239.187408447
528280.01,2261961.01,229.267150879
528280.01,2262061.01,226.919677734
528280.01,2262161.01,226.951034546
528280.01,2262261.01,226.616653442
528280.01,2262361.01,224.026077271
528280.01,2262461.01,224.021240234
528280.01,2262561.01,223.970962524
528280.01,2262661.01,224.170669556
528280.01,2262761.01,225.752624512
528280.01,2262861.01,226.488265991
528280.01,2262961.01,227.963256836
528280.01,2263061.01,229.207763672
528280.01,2263161.01,228.99949646
528280.01,2263261.01,230.785140991
528280.01,2263361.01,232.654190063
528280.01,2263461.01,233.760528564
528280.01,2263561.01,236.027145386
528280.01,2263661.01,237.849197388
528280.01,2263761.01,238.222686768
528280.01,2263861.01,241.29536438
528280.01,2263961.01,244.189193726
528280.01,2264061.01,247.175582886
528280.01,2264161.01,247.923797607
528280.01,2264261.01,250.875045776
528280.01,2264361.01,255.713653564
528280.01,2264461.01,258.101013184
528280.01,2264561.01,261.387390137
528280.01,2264661.01,262.197601318
528280.01,2264761.01,262.0887146
528280.01,2264861.01,261.833740234
528280.01,2264961.01,263.336608887
528280.01,2265061.01,264.226318359
528280.01,2265161.01,265.724060059
528280.01,2265261.01,267.193359375
528280.01,2265361.01,267.422241211
528280.01,2265461.01,270.012298584
528280.01,2265561.01,266.109863281
528280.01,2265661.01,258.387969971
528280.01,2265761.01,258.747894287
528280.01,2265861.01,260.240020752
528280.01,2265961.01,261.548675537
528280.01,2266061.01,261.265899658
528280.01,2266161.01,261.51574707
528280.01,2266261.01,260.76260376
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,269.541259766
528380.01,2260961.01,269.44833374
528380.01,2261061.01,271.409484863
528380.01,2261161.01,274.1355896
528380.01,2261261.01,277.084716797
528380.01,2261361.01,280.040527344
528380.01,2261461.01,283.274658203
528380.01,2261561.01,287.015594482
528380.01,2261661.01,299.583618164
528380.01,2261761.01,303.675109863
528380.01,2261861.01,303.675109863
528380.01,2261961.01,303.675109863
528380.01,2262061.01,230.644302368
528380.01,2262161.01,224.674499512
528380.01,2262261.01,223.730606079
528380.01,2262361.01,223.730606079
528380.01,2262461.01,223.730606079
528380.01,2262561.01,223.730606079
528380.01,2262661.01,223.730606079
528380.01,2262761.01,224.943908691
528380.01,2262861.01,225.244094849
528380.01,2262961.01,225.058395386
528380.01,2263061.01,225.801925659
528380.01,2263161.01,226.629119873
528380.01,2263261.01,228.157165527
528380.01,2263361.01,230.44921875
528380.01,2263461.01,231.07611084
528380.01,2263561.01,233.527694702
528380.01,2263661.01,235.085144043
528380.01,2263761.01,235.402374268
528380.01,2263861.01,237.23286438
528380.01,2263961.01,240.026382446
528380.01,2264061.01,241.021514893
528380.01,2264161.01,245.208648682
528380.01,2264261.01,248.950531006
528380.01,2264361.01,254.276016235
528380.01,2264461.01,257.412017822
528380.01,2264561.01,260.300109863
528380.01,2264661.01,261.598602295
