"X","Y","H30_Lusit (Depth)"
527580.01,2263561.01,392.909729004
527580.01,2263661.01,393.372650146
527580.01,2263761.01,393.854705811
527580.01,2263861.01,394.464813232
527580.01,2263961.01,394.624542236
527580.01,2264061.01,396.334625244
527580.01,2264161.01,398.618499756
527580.01,2264261.01,399.365600586
527580.01,2264361.01,404.303619385
527580.01,2264461.01,412.47567749
527580.01,2264561.01,420.778564453
527580.01,2264661.01,424.133422852
527580.01,2264761.01,424.852783203
527580.01,2264861.01,427.894683838
527580.01,2264961.01,432.12979126
527580.01,2265061.01,437.147155762
527580.01,2265161.01,436.962341309
527580.01,2265261.01,437.2315979
527580.01,2265361.01,436.075256348
527580.01,2265461.01,436.419830322
527580.01,2265561.01,436.489105225
527580.01,2265661.01,435.787322998
527580.01,2265761.01,435.007781982
527580.01,2265861.01,403.542816162
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,379.168151855
527680.01,2261261.01,379.340606689
527680.01,2261361.01,379.810424805
527680.01,2261461.01,380.468475342
527680.01,2261561.01,380.89932251
527680.01,2261661.01,381.697570801
527680.01,2261761.01,383.577331543
527680.01,2261861.01,387.134002686
527680.01,2261961.01,389.053436279
527680.01,2262061.01,390.136444092
527680.01,2262161.01,390.420379639
527680.01,2262261.01,384.761810303
527680.01,2262361.01,383.184814453
527680.01,2262461.01,384.255157471
527680.01,2262561.01,386.624572754
527680.01,2262661.01,386.824737549
527680.01,2262761.01,388.41015625
527680.01,2262861.01,390.691497803
527680.01,2262961.01,391.112487793
527680.01,2263061.01,393.03326416
527680.01,2263161.01,393.979919434
527680.01,2263261.01,392.656280518
527680.01,2263361.01,392.255737305
527680.01,2263461.01,391.004058838
527680.01,2263561.01,391.038452148
527680.01,2263661.01,392.527648926
527680.01,2263761.01,393.618713379
527680.01,2263861.01,392.841400146
527680.01,2263961.01,393.427246094
527680.01,2264061.01,396.67364502
527680.01,2264161.01,400.796844482
527680.01,2264261.01,403.986206055
527680.01,2264361.01,407.081481934
527680.01,2264461.01,410.361083984
527680.01,2264561.01,413.547393799
527680.01,2264661.01,421.923095703
527680.01,2264761.01,422.622192383
527680.01,2264861.01,423.195068359
527680.01,2264961.01,431.33883667
527680.01,2265061.01,435.593536377
527680.01,2265161.01,436.669281006
527680.01,2265261.01,436.880859375
527680.01,2265361.01,436.792449951
527680.01,2265461.01,436.63583374
527680.01,2265561.01,436.63583374
527680.01,2265661.01,392.403717041
527680.01,2265761.01,393.832458496
527680.01,2265861.01,394.419403076
527680.01,2265961.01,397.250640869
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,382.485778809
527780.01,2261261.01,380.003570557
527780.01,2261361.01,380.417236328
527780.01,2261461.01,381.473266602
527780.01,2261561.01,383.126953125
527780.01,2261661.01,386.233642578
527780.01,2261761.01,386.888885498
527780.01,2261861.01,388.210113525
527780.01,2261961.01,390.207641602
527780.01,2262061.01,390.808685303
527780.01,2262161.01,389.396881104
527780.01,2262261.01,381.798248291
527780.01,2262361.01,382.065765381
527780.01,2262461.01,383.434814453
527780.01,2262561.01,384.803741455
527780.01,2262661.01,385.567779541
527780.01,2262761.01,386.771789551
527780.01,2262861.01,388.467315674
527780.01,2262961.01,389.556671143
527780.01,2263061.01,390.124206543
527780.01,2263161.01,391.11807251
527780.01,2263261.01,389.649688721
