"X","Y","H40_Batho (Depth)"
527980.01,2263861.01,796.58807373
527980.01,2263961.01,793.196716309
527980.01,2264061.01,792.644836426
527980.01,2264161.01,791.496032715
527980.01,2264261.01,790.580078125
527980.01,2264361.01,782.752441406
527980.01,2264461.01,782.406494141
527980.01,2264561.01,782.663452148
527980.01,2264661.01,784.117492676
527980.01,2264761.01,785.257080078
527980.01,2264861.01,786.357971191
527980.01,2264961.01,791.135009766
527980.01,2265061.01,796.505432129
527980.01,2265161.01,793.970092773
527980.01,2265261.01,792.263427734
527980.01,2265361.01,790.200073242
527980.01,2265461.01,790.579589844
527980.01,2265561.01,793.227783203
527980.01,2265661.01,796.266174316
527980.01,2265761.01,798.662109375
527980.01,2265861.01,801.569946289
527980.01,2265961.01,802.015197754
527980.01,2266061.01,801.119750977
527980.01,2266161.01,799.635375977
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,794.170043945
528080.01,2261161.01,793.557067871
528080.01,2261261.01,793.651367188
528080.01,2261361.01,793.651367188
528080.01,2261461.01,793.995544434
528080.01,2261561.01,783.74017334
528080.01,2261661.01,783.74017334
528080.01,2261761.01,774.611572266
528080.01,2261861.01,774.611572266
528080.01,2261961.01,774.611572266
528080.01,2262061.01,774.908630371
528080.01,2262161.01,776.063415527
528080.01,2262261.01,781.404418945
528080.01,2262361.01,781.304443359
528080.01,2262461.01,781.690246582
528080.01,2262561.01,781.525024414
528080.01,2262661.01,781.963012695
528080.01,2262761.01,783.23651123
528080.01,2262861.01,781.527893066
528080.01,2262961.01,782.783081055
528080.01,2263061.01,785.269287109
528080.01,2263161.01,787.367980957
528080.01,2263261.01,787.575256348
528080.01,2263361.01,788.613830566
528080.01,2263461.01,791.146911621
528080.01,2263561.01,791.503051758
528080.01,2263661.01,793.881713867
528080.01,2263761.01,795.760131836
528080.01,2263861.01,795.900512695
528080.01,2263961.01,795.231140137
528080.01,2264061.01,791.937927246
528080.01,2264161.01,789.59362793
528080.01,2264261.01,786.232971191
528080.01,2264361.01,782.452270508
528080.01,2264461.01,781.526184082
528080.01,2264561.01,782.62121582
528080.01,2264661.01,785.169250488
528080.01,2264761.01,787.054382324
528080.01,2264861.01,788.758972168
528080.01,2264961.01,792.001464844
528080.01,2265061.01,794.310668945
528080.01,2265161.01,793.794494629
528080.01,2265261.01,787.385009766
528080.01,2265361.01,788.275695801
528080.01,2265461.01,788.569946289
528080.01,2265561.01,792.394348145
528080.01,2265661.01,795.919677734
528080.01,2265761.01,797.643737793
528080.01,2265861.01,799.835266113
528080.01,2265961.01,800.167419434
528080.01,2266061.01,798.678344727
528080.01,2266161.01,797.474304199
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,790.536132813
528180.01,2261161.01,779.941162109
528180.01,2261261.01,775.353820801
528180.01,2261361.01,793.651367188
528180.01,2261461.01,776.840148926
528180.01,2261561.01,774.611572266
528180.01,2261661.01,783.74017334
528180.01,2261761.01,774.611572266
528180.01,2261861.01,774.611572266
528180.01,2261961.01,774.611572266
528180.01,2262061.01,774.611572266
528180.01,2262161.01,781.549377441
528180.01,2262261.01,781.549377441
528180.01,2262361.01,781.528320313
528180.01,2262461.01,781.534118652
528180.01,2262561.01,777.102294922
528180.01,2262661.01,779.632568359
528180.01,2262761.01,779.655822754
528180.01,2262861.01,779.329223633
528180.01,2262961.01,779.65447998
528180.01,2263061.01,781.925537109
528180.01,2263161.01,783.031005859
528180.01,2263261.01,784.698791504
528180.01,2263361.01,786.297302246
528180.01,2263461.01,788.622680664
528180.01,2263561.01,789.20892334
528180.01,2263661.01,791.312744141
528180.01,2263761.01,793.130065918
528180.01,2263861.01,792.892883301
528180.01,2263961.01,792.342529297
528180.01,2264061.01,791.444152832
528180.01,2264161.01,790.23059082
528180.01,2264261.01,789.09161377
528180.01,2264361.01,783.866210938
528180.01,2264461.01,782.210205078
528180.01,2264561.01,783.442077637
528180.01,2264661.01,786.340148926
528180.01,2264761.01,788.064758301
528180.01,2264861.01,790.165588379
528180.01,2264961.01,791.470458984
528180.01,2265061.01,791.824035645
528180.01,2265161.01,791.898132324
528180.01,2265261.01,781.509033203
528180.01,2265361.01,783.899597168
528180.01,2265461.01,786.313537598
528180.01,2265561.01,791.009338379
528180.01,2265661.01,794.271606445
528180.01,2265761.01,795.999389648
528180.01,2265861.01,797.045166016
528180.01,2265961.01,797.163330078
528180.01,2266061.01,796.587097168
528180.01,2266161.01,798.846923828
528180.01,2266261.01,801.874511719
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,783.74017334
528280.01,2261161.01,779.170532227
528280.01,2261261.01,779.170532227
528280.01,2261361.01,776.840148926
528280.01,2261461.01,778.984863281
528280.01,2261561.01,781.712280273
528280.01,2261661.01,783.74017334
528280.01,2261761.01,780.866821289
528280.01,2261861.01,774.611572266
528280.01,2261961.01,774.611572266
528280.01,2262061.01,774.611572266
528280.01,2262161.01,781.549377441
528280.01,2262261.01,781.549377441
528280.01,2262361.01,781.549377441
528280.01,2262461.01,781.549377441
528280.01,2262561.01,781.549377441
528280.01,2262661.01,781.309265137
528280.01,2262761.01,779.124572754
528280.01,2262861.01,776.010620117
528280.01,2262961.01,777.171875
528280.01,2263061.01,778.1484375
528280.01,2263161.01,779.470703125
528280.01,2263261.01,782.094543457
528280.01,2263361.01,784.421020508
528280.01,2263461.01,784.86315918
528280.01,2263561.01,786.283447266
528280.01,2263661.01,786.84588623
528280.01,2263761.01,787.477783203
528280.01,2263861.01,788.763549805
528280.01,2263961.01,789.243530273
528280.01,2264061.01,789.026428223
528280.01,2264161.01,787.454467773
528280.01,2264261.01,785.706054688
528280.01,2264361.01,782.649108887
528280.01,2264461.01,780.495178223
528280.01,2264561.01,782.618713379
528280.01,2264661.01,786.535522461
528280.01,2264761.01,788.557067871
528280.01,2264861.01,790.731506348
528280.01,2264961.01,791.118408203
528280.01,2265061.01,790.86505127
528280.01,2265161.01,791.236694336
528280.01,2265261.01,780.705505371
528280.01,2265361.01,781.6171875
528280.01,2265461.01,785.936828613
528280.01,2265561.01,790.366394043
528280.01,2265661.01,793.305480957
528280.01,2265761.01,794.629577637
528280.01,2265861.01,796.187866211
528280.01,2265961.01,796.771972656
528280.01,2266061.01,797.487426758
528280.01,2266161.01,801.307983398
528280.01,2266261.01,805.416809082
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,817.653930664
528380.01,2260961.01,819.62878418
528380.01,2261061.01,793.429992676
528380.01,2261161.01,781.449951172
528380.01,2261261.01,779.170532227
528380.01,2261361.01,779.170532227
528380.01,2261461.01,780.693725586
528380.01,2261561.01,780.508911133
528380.01,2261661.01,777.643737793
528380.01,2261761.01,774.611572266
528380.01,2261861.01,774.611572266
528380.01,2261961.01,774.611572266
528380.01,2262061.01,757.344299316
528380.01,2262161.01,758.138549805
528380.01,2262261.01,769.398254395
528380.01,2262361.01,773.041442871
528380.01,2262461.01,781.549377441
528380.01,2262561.01,750.778747559
528380.01,2262661.01,781.549377441
528380.01,2262761.01,780.522827148
528380.01,2262861.01,776.50402832
528380.01,2262961.01,774.804077148
528380.01,2263061.01,775.045227051
528380.01,2263161.01,775.070739746
528380.01,2263261.01,777.39453125
528380.01,2263361.01,779.911010742
528380.01,2263461.01,779.909973145
528380.01,2263561.01,781.302612305
528380.01,2263661.01,784.227600098
528380.01,2263761.01,784.709228516
528380.01,2263861.01,785.592285156
528380.01,2263961.01,785.914672852
528380.01,2264061.01,782.447143555
528380.01,2264161.01,781.541748047
528380.01,2264261.01,780.668945313
528380.01,2264361.01,778.420288086
528380.01,2264461.01,778.479736328
528380.01,2264561.01,781.606445313
528380.01,2264661.01,787.347839355
528380.01,2264761.01,789.726806641
528380.01,2264861.01,791.86529541
528380.01,2264961.01,792.317871094
528380.01,2265061.01,792.267028809
528380.01,2265161.01,790.727722168
528380.01,2265261.01,781.964660645
528380.01,2265361.01,782.347412109
528380.01,2265461.01,786.34197998
528380.01,2265561.01,790.48449707
528380.01,2265661.01,791.896972656
528380.01,2265761.01,795.022827148
