"X","Y","H80_r3a (Depth)"
528180.01,2264361.01,1077.769775391
528180.01,2264461.01,1071.485961914
528180.01,2264561.01,1069.876342773
528180.01,2264661.01,1073.875732422
528180.01,2264761.01,1074.193725586
528180.01,2264861.01,1075.753417969
528180.01,2264961.01,1075.975097656
528180.01,2265061.01,1074.983032227
528180.01,2265161.01,1061.137817383
528180.01,2265261.01,1062.508300781
528180.01,2265361.01,1066.948974609
528180.01,2265461.01,1067.580566406
528180.01,2265561.01,1072.289916992
528180.01,2265661.01,1075.3203125
528180.01,2265761.01,1076.633422852
528180.01,2265861.01,1079.068237305
528180.01,2265961.01,1081.387207031
528180.01,2266061.01,1081.534790039
528180.01,2266161.01,1082.874023438
528180.01,2266261.01,1085.537719727
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,1109.889770508
528280.01,2261061.01,1109.920654297
528280.01,2261161.01,1107.620361328
528280.01,2261261.01,1106.337524414
528280.01,2261361.01,1104.916259766
528280.01,2261461.01,1106.717041016
528280.01,2261561.01,1106.019042969
528280.01,2261661.01,1105.520874023
528280.01,2261761.01,1102.487304688
528280.01,2261861.01,1074.471313477
528280.01,2261961.01,1073.185302734
528280.01,2262061.01,1090.480102539
528280.01,2262161.01,1090.480102539
528280.01,2262261.01,1090.480102539
528280.01,2262361.01,1090.39465332
528280.01,2262461.01,1089.810668945
528280.01,2262561.01,1082.991943359
528280.01,2262661.01,1086.450927734
528280.01,2262761.01,1085.447509766
528280.01,2262861.01,1083.220458984
528280.01,2262961.01,1083.70300293
528280.01,2263061.01,1084.418579102
528280.01,2263161.01,1085.381713867
528280.01,2263261.01,1086.917480469
528280.01,2263361.01,1088.168212891
528280.01,2263461.01,1087.248413086
528280.01,2263561.01,1087.004272461
528280.01,2263661.01,1086.374023438
528280.01,2263761.01,1086.146118164
528280.01,2263861.01,1085.758422852
528280.01,2263961.01,1083.298706055
528280.01,2264061.01,1080.519165039
528280.01,2264161.01,1077.568237305
528280.01,2264261.01,1072.450439453
528280.01,2264361.01,1070.311767578
528280.01,2264461.01,1068.622680664
528280.01,2264561.01,1069.16809082
528280.01,2264661.01,1072.083740234
528280.01,2264761.01,1072.375732422
528280.01,2264861.01,1074.309448242
528280.01,2264961.01,1074.686035156
528280.01,2265061.01,1073.203979492
528280.01,2265161.01,1060.265258789
528280.01,2265261.01,1060.323120117
528280.01,2265361.01,1061.68737793
528280.01,2265461.01,1065.91015625
528280.01,2265561.01,1070.591552734
528280.01,2265661.01,1074.001708984
528280.01,2265761.01,1075.766235352
528280.01,2265861.01,1077.688476563
528280.01,2265961.01,1080.311889648
528280.01,2266061.01,1081.642700195
528280.01,2266161.01,1084.192871094
528280.01,2266261.01,1086.82824707
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,1109.980102539
528380.01,2260961.01,1109.980102539
528380.01,2261061.01,1109.962402344
528380.01,2261161.01,1107.13269043
528380.01,2261261.01,1107.562011719
528380.01,2261361.01,1106.315917969
528380.01,2261461.01,1102.428344727
