"X","Y","H70_Arg_lev (Depth)"
527880.01,2262061.01,1018.159484863
527880.01,2262161.01,1020.505432129
527880.01,2262261.01,1022.653381348
527880.01,2262361.01,1022.734802246
527880.01,2262461.01,1022.879699707
527880.01,2262561.01,1025.425048828
527880.01,2262661.01,1026.899414063
527880.01,2262761.01,1031.020996094
527880.01,2262861.01,1032.907592773
527880.01,2262961.01,1033.538330078
527880.01,2263061.01,1033.678222656
527880.01,2263161.01,1033.146362305
527880.01,2263261.01,1032.827636719
527880.01,2263361.01,1032.74206543
527880.01,2263461.01,1031.860229492
527880.01,2263561.01,1030.628173828
527880.01,2263661.01,1030.12487793
527880.01,2263761.01,1029.625366211
527880.01,2263861.01,1029.625366211
527880.01,2263961.01,1029.625366211
527880.01,2264061.01,1029.326904297
527880.01,2264161.01,1002.043273926
527880.01,2264261.01,1013.486938477
527880.01,2264361.01,983.735168457
527880.01,2264461.01,987.823547363
527880.01,2264561.01,1013.845458984
527880.01,2264661.01,1002.104064941
527880.01,2264761.01,1008.905700684
527880.01,2264861.01,1010.98223877
527880.01,2264961.01,1015.96105957
527880.01,2265061.01,1007.56463623
527880.01,2265161.01,1008.033752441
527880.01,2265261.01,1008.961669922
527880.01,2265361.01,1009.492126465
527880.01,2265461.01,1012.034240723
527880.01,2265561.01,1014.90637207
527880.01,2265661.01,1018.287597656
527880.01,2265761.01,1020.290039063
527880.01,2265861.01,1023.475280762
527880.01,2265961.01,1024.990356445
527880.01,2266061.01,1024.260498047
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,1039.382202148
527980.01,2261161.01,1039.590698242
527980.01,2261261.01,1012.538208008
527980.01,2261361.01,1012.538208008
527980.01,2261461.01,1012.538208008
527980.01,2261561.01,1012.62677002
527980.01,2261661.01,1012.932556152
527980.01,2261761.01,1013.860778809
527980.01,2261861.01,1015.668762207
527980.01,2261961.01,1016.406921387
527980.01,2262061.01,1018.171020508
527980.01,2262161.01,1021.462768555
527980.01,2262261.01,1022.293395996
527980.01,2262361.01,1021.876403809
527980.01,2262461.01,1022.949829102
527980.01,2262561.01,1023.905029297
527980.01,2262661.01,1024.931762695
527980.01,2262761.01,1026.032470703
527980.01,2262861.01,1028.247802734
527980.01,2262961.01,1027.645996094
527980.01,2263061.01,1027.701904297
527980.01,2263161.01,1029.506591797
527980.01,2263261.01,1028.743774414
527980.01,2263361.01,1030.643188477
527980.01,2263461.01,1029.731323242
527980.01,2263561.01,1029.700439453
527980.01,2263661.01,1030.021606445
527980.01,2263761.01,1029.960449219
527980.01,2263861.01,1029.562988281
527980.01,2263961.01,1029.190429688
527980.01,2264061.01,1028.514526367
527980.01,2264161.01,1026.487792969
527980.01,2264261.01,1023.006103516
527980.01,2264361.01,1018.48815918
527980.01,2264461.01,1014.915649414
527980.01,2264561.01,1013.705322266
