"X","Y","H00_Ground Level (Depth)"
527680.01,2265961.01,-113.931755066
527680.01,2266061.01,-115.696624756
527680.01,2266161.01,-117.57762146
527780.01,2261061.01,-101.112709045
527780.01,2261161.01,-100.854919434
527780.01,2261261.01,-100.976921082
527780.01,2261361.01,-101.191452026
527780.01,2261461.01,-101.703872681
527780.01,2261561.01,-102.965637207
527780.01,2261661.01,-104.228515625
527780.01,2261761.01,-106.848381042
527780.01,2261861.01,-108.644119263
527780.01,2261961.01,-109.005393982
527780.01,2262061.01,-110.214126587
527780.01,2262161.01,-111.664505005
527780.01,2262261.01,-112.613449097
527780.01,2262361.01,-114.274505615
527780.01,2262461.01,-114.276191711
527780.01,2262561.01,-113.411811829
527780.01,2262661.01,-112.699714661
527780.01,2262761.01,-113.950027466
527780.01,2262861.01,-114.250854492
527780.01,2262961.01,-114.07144928
527780.01,2263061.01,-113.965263367
527780.01,2263161.01,-114.608932495
527780.01,2263261.01,-115.085800171
527780.01,2263361.01,-114.099357605
527780.01,2263461.01,-112.148048401
527780.01,2263561.01,-109.703544617
527780.01,2263661.01,-108.086128235
527780.01,2263761.01,-106.627906799
527780.01,2263861.01,-104.304794312
527780.01,2263961.01,-102.05645752
527780.01,2264061.01,-99.970169067
527780.01,2264161.01,-105.004768372
527780.01,2264261.01,-110.537406921
527780.01,2264361.01,-114.982833862
527780.01,2264461.01,-115.966758728
527780.01,2264561.01,-114.88848877
527780.01,2264661.01,-115.793701172
527780.01,2264761.01,-115.86290741
527780.01,2264861.01,-115.427375793
527780.01,2264961.01,-114.585899353
527780.01,2265061.01,-112.426300049
527780.01,2265161.01,-111.974899292
527780.01,2265261.01,-112.146606445
527780.01,2265361.01,-112.543128967
527780.01,2265461.01,-115.053947449
527780.01,2265561.01,-116.960655212
527780.01,2265661.01,-117.108596802
527780.01,2265761.01,-116.382995605
527780.01,2265861.01,-115.644950867
527780.01,2265961.01,-116.117774963
527780.01,2266061.01,-117.097267151
527780.01,2266161.01,-118.563903809
527880.01,2261061.01,-100.118400574
527880.01,2261161.01,-99.730194092
527880.01,2261261.01,-100.010536194
527880.01,2261361.01,-100.829589844
527880.01,2261461.01,-101.249351501
527880.01,2261561.01,-103.064727783
527880.01,2261661.01,-105.250396729
527880.01,2261761.01,-106.621620178
527880.01,2261861.01,-107.761276245
527880.01,2261961.01,-109.14931488
527880.01,2262061.01,-109.892402649
527880.01,2262161.01,-111.019943237
527880.01,2262261.01,-111.872764587
527880.01,2262361.01,-113.424911499
527880.01,2262461.01,-114.199798584
527880.01,2262561.01,-113.654884338
527880.01,2262661.01,-112.48538208
527880.01,2262761.01,-113.024642944
527880.01,2262861.01,-113.110473633
527880.01,2262961.01,-112.892578125
527880.01,2263061.01,-113.136558533
527880.01,2263161.01,-113.843696594
527880.01,2263261.01,-114.495513916
527880.01,2263361.01,-113.975494385
527880.01,2263461.01,-111.880241394
527880.01,2263561.01,-109.4896698
527880.01,2263661.01,-107.667930603
527880.01,2263761.01,-105.825920105
527880.01,2263861.01,-104.303161621
527880.01,2263961.01,-103.179069519
527880.01,2264061.01,-99.812606812
527880.01,2264161.01,-103.392951965
527880.01,2264261.01,-108.924987793
527880.01,2264361.01,-113.554130554
527880.01,2264461.01,-115.459121704
527880.01,2264561.01,-115.646057129
527880.01,2264661.01,-116.717857361
527880.01,2264761.01,-116.957122803
527880.01,2264861.01,-116.771896362
527880.01,2264961.01,-116.004356384
527880.01,2265061.01,-114.004936218
527880.01,2265161.01,-112.695335388
527880.01,2265261.01,-112.580848694
527880.01,2265361.01,-113.897239685
527880.01,2265461.01,-116.233024597
527880.01,2265561.01,-118.421760559
527880.01,2265661.01,-119.453636169
527880.01,2265761.01,-119.421325684
527880.01,2265861.01,-117.452232361
527880.01,2265961.01,-116.104469299
527880.01,2266061.01,-117.808280945
527880.01,2266161.01,-119.560745239
527880.01,2266261.01,-119.681915283
527980.01,2260961.01,-99.821754456
527980.01,2261061.01,-99.238510132
527980.01,2261161.01,-98.977333069
527980.01,2261261.01,-100.089233398
527980.01,2261361.01,-100.814002991
527980.01,2261461.01,-101.917259216
527980.01,2261561.01,-103.834266663
527980.01,2261661.01,-106.019538879
527980.01,2261761.01,-106.214782715
527980.01,2261861.01,-106.933265686
527980.01,2261961.01,-107.930137634
527980.01,2262061.01,-108.661911011
527980.01,2262161.01,-109.979141235
527980.01,2262261.01,-111.690582275
527980.01,2262361.01,-112.712234497
527980.01,2262461.01,-112.659622192
527980.01,2262561.01,-112.689987183
527980.01,2262661.01,-112.162765503
527980.01,2262761.01,-112.339012146
527980.01,2262861.01,-112.49067688
527980.01,2262961.01,-111.953613281
527980.01,2263061.01,-112.08782196
527980.01,2263161.01,-112.976226807
527980.01,2263261.01,-113.766586304
527980.01,2263361.01,-114.170043945
527980.01,2263461.01,-112.920921326
527980.01,2263561.01,-109.155265808
527980.01,2263661.01,-107.544578552
527980.01,2263761.01,-105.919815063
527980.01,2263861.01,-104.576675415
527980.01,2263961.01,-101.747436523
527980.01,2264061.01,-100.080833435
527980.01,2264161.01,-102.626182556
527980.01,2264261.01,-107.544067383
527980.01,2264361.01,-111.683418274
527980.01,2264461.01,-113.782493591
527980.01,2264561.01,-115.302848816
527980.01,2264661.01,-116.748428345
527980.01,2264761.01,-116.965637207
527980.01,2264861.01,-117.88483429
527980.01,2264961.01,-117.315795898
527980.01,2265061.01,-116.308868408
527980.01,2265161.01,-115.462974548
527980.01,2265261.01,-114.607345581
527980.01,2265361.01,-116.016052246
527980.01,2265461.01,-117.876960754
527980.01,2265561.01,-119.970123291
527980.01,2265661.01,-122.632339478
527980.01,2265761.01,-122.778862
527980.01,2265861.01,-120.334701538
527980.01,2265961.01,-118.692092896
527980.01,2266061.01,-118.593856812
527980.01,2266161.01,-120.141204834
527980.01,2266261.01,-120.295570374
528080.01,2260961.01,-99.332244873
528080.01,2261061.01,-99.011116028
528080.01,2261161.01,-99.148200989
528080.01,2261261.01,-100.347938538
528080.01,2261361.01,-100.95464325
528080.01,2261461.01,-102.22429657
528080.01,2261561.01,-104.14629364
528080.01,2261661.01,-105.550643921
528080.01,2261761.01,-105.344085693
528080.01,2261861.01,-106.665397644
528080.01,2261961.01,-107.137306213
528080.01,2262061.01,-108.204460144
528080.01,2262161.01,-109.933036804
528080.01,2262261.01,-111.138977051
528080.01,2262361.01,-111.332969666
528080.01,2262461.01,-110.905853271
528080.01,2262561.01,-110.980331421
528080.01,2262661.01,-111.693885803
528080.01,2262761.01,-112.053855896
528080.01,2262861.01,-112.223365784
528080.01,2262961.01,-111.896980286
528080.01,2263061.01,-111.964454651
528080.01,2263161.01,-112.631950378
528080.01,2263261.01,-114.186470032
528080.01,2263361.01,-114.200927734
528080.01,2263461.01,-113.472938538
528080.01,2263561.01,-109.070663452
528080.01,2263661.01,-107.130493164
528080.01,2263761.01,-105.296722412
528080.01,2263861.01,-105.061576843
528080.01,2263961.01,-101.965133667
528080.01,2264061.01,-100.217514038
528080.01,2264161.01,-102.858009338
528080.01,2264261.01,-107.342796326
528080.01,2264361.01,-110.871902466
528080.01,2264461.01,-112.377090454
528080.01,2264561.01,-113.782852173
528080.01,2264661.01,-115.973968506
528080.01,2264761.01,-116.819328308
528080.01,2264861.01,-117.417922974
528080.01,2264961.01,-117.891265869
528080.01,2265061.01,-117.630905151
528080.01,2265161.01,-119.354133606
528080.01,2265261.01,-118.054603577
528080.01,2265361.01,-118.457115173
528080.01,2265461.01,-119.950042725
528080.01,2265561.01,-121.010902405
528080.01,2265661.01,-123.131622314
528080.01,2265761.01,-124.587547302
528080.01,2265861.01,-123.191375732
528080.01,2265961.01,-121.78187561
528080.01,2266061.01,-120.337173462
528080.01,2266161.01,-120.429573059
528080.01,2266261.01,-120.937149048
528080.01,2266361.01,-120.459968567
528180.01,2260961.01,-99.040527344
528180.01,2261061.01,-99.089179993
528180.01,2261161.01,-99.259292603
528180.01,2261261.01,-100.302528381
528180.01,2261361.01,-101.012275696
528180.01,2261461.01,-101.794258118
528180.01,2261561.01,-103.568031311
528180.01,2261661.01,-104.128051758
528180.01,2261761.01,-104.345802307
528180.01,2261861.01,-106.358436584
528180.01,2261961.01,-107.105735779
528180.01,2262061.01,-108.0885849
528180.01,2262161.01,-109.91557312
528180.01,2262261.01,-109.831260681
528180.01,2262361.01,-109.680786133
528180.01,2262461.01,-109.302963257
528180.01,2262561.01,-109.246513367
528180.01,2262661.01,-110.802528381
528180.01,2262761.01,-111.832260132
528180.01,2262861.01,-111.739120483
528180.01,2262961.01,-110.749450684
528180.01,2263061.01,-110.761581421
528180.01,2263161.01,-111.404197693
528180.01,2263261.01,-112.91178894
528180.01,2263361.01,-113.034683228
528180.01,2263461.01,-112.64743042
528180.01,2263561.01,-109.053085327
528180.01,2263661.01,-106.516052246
528180.01,2263761.01,-105.50604248
528180.01,2263861.01,-104.928146362
528180.01,2263961.01,-103.8697052
528180.01,2264061.01,-101.82334137
528180.01,2264161.01,-104.226921082
528180.01,2264261.01,-108.168899536
528180.01,2264361.01,-111.302467346
528180.01,2264461.01,-111.641563416
528180.01,2264561.01,-112.940460205
528180.01,2264661.01,-115.792221069
528180.01,2264761.01,-117.176567078
528180.01,2264861.01,-117.104194641
528180.01,2264961.01,-117.847999573
528180.01,2265061.01,-118.233764648
528180.01,2265161.01,-119.680450439
528180.01,2265261.01,-119.366577148
528180.01,2265361.01,-119.104278564
528180.01,2265461.01,-120.284454346
528180.01,2265561.01,-120.966552734
528180.01,2265661.01,-123.145515442
528180.01,2265761.01,-124.942176819
528180.01,2265861.01,-124.799285889
528180.01,2265961.01,-124.568595886
528180.01,2266061.01,-122.449249268
528180.01,2266161.01,-120.970535278
528180.01,2266261.01,-121.682151794
528180.01,2266361.01,-121.164924622
528280.01,2260861.01,-98.277328491
528280.01,2260961.01,-98.864822388
528280.01,2261061.01,-99.698570251
528280.01,2261161.01,-99.76914978
528280.01,2261261.01,-100.631904602
528280.01,2261361.01,-101.941467285
528280.01,2261461.01,-102.664207458
528280.01,2261561.01,-103.828613281
528280.01,2261661.01,-105.127464294
528280.01,2261761.01,-105.143409729
528280.01,2261861.01,-106.808067322
528280.01,2261961.01,-107.609260559
528280.01,2262061.01,-108.889579773
528280.01,2262161.01,-109.020866394
528280.01,2262261.01,-108.386734009
528280.01,2262361.01,-108.578773499
528280.01,2262461.01,-108.654098511
528280.01,2262561.01,-108.954437256
528280.01,2262661.01,-108.783210754
528280.01,2262761.01,-110.120910645
528280.01,2262861.01,-110.483352661
528280.01,2262961.01,-108.804237366
528280.01,2263061.01,-108.557655334
528280.01,2263161.01,-109.916061401
528280.01,2263261.01,-111.153671265
528280.01,2263361.01,-111.247741699
528280.01,2263461.01,-110.454322815
528280.01,2263561.01,-108.73235321
528280.01,2263661.01,-106.445732117
528280.01,2263761.01,-105.828521729
528280.01,2263861.01,-104.872673035
528280.01,2263961.01,-103.914123535
528280.01,2264061.01,-103.116226196
528280.01,2264161.01,-105.854484558
528280.01,2264261.01,-108.457649231
528280.01,2264361.01,-111.976913452
528280.01,2264461.01,-111.849777222
528280.01,2264561.01,-113.711616516
528280.01,2264661.01,-115.271858215
528280.01,2264761.01,-116.444732666
528280.01,2264861.01,-117.164733887
528280.01,2264961.01,-117.075317383
528280.01,2265061.01,-117.916381836
528280.01,2265161.01,-118.640518188
528280.01,2265261.01,-118.862251282
528280.01,2265361.01,-118.344558716
528280.01,2265461.01,-119.117530823
528280.01,2265561.01,-120.751693726
528280.01,2265661.01,-122.59992981
528280.01,2265761.01,-123.837371826
528280.01,2265861.01,-124.884307861
528280.01,2265961.01,-126.033180237
528280.01,2266061.01,-123.99458313
528280.01,2266161.01,-122.554161072
