"X","Y","H04_Cenom (Depth)"
528080.01,2264561.01,46.447189331
528080.01,2264661.01,64.660453796
528080.01,2264761.01,68.25479126
528080.01,2264861.01,45.5467453
528080.01,2264961.01,20.949417114
528080.01,2265061.01,26.558130264
528080.01,2265161.01,27.977941513
528080.01,2265261.01,31.323091507
528080.01,2265361.01,34.11359024
528080.01,2265461.01,35.886817932
528080.01,2265561.01,38.088157654
528080.01,2265661.01,39.573436737
528080.01,2265761.01,40.629535675
528080.01,2265861.01,45.36151123
528080.01,2265961.01,48.036403656
528080.01,2266061.01,47.187522888
528080.01,2266161.01,44.984710693
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,38.24187851
528180.01,2261061.01,39.079040527
528180.01,2261161.01,40.241340637
528180.01,2261261.01,43.238933563
528180.01,2261361.01,46.770206451
528180.01,2261461.01,32.460857391
528180.01,2261561.01,87.593940735
528180.01,2261661.01,87.593940735
528180.01,2261761.01,87.593940735
528180.01,2261861.01,35.93744278
528180.01,2261961.01,68.087944031
528180.01,2262061.01,17.269123077
528180.01,2262161.01,16.094554901
528180.01,2262261.01,15.331167221
528180.01,2262361.01,15.331167221
528180.01,2262461.01,15.452916145
528180.01,2262561.01,15.391414642
528180.01,2262661.01,14.839328766
528180.01,2262761.01,15.012882233
528180.01,2262861.01,14.117988586
528180.01,2262961.01,14.421375275
528180.01,2263061.01,16.533939362
528180.01,2263161.01,15.703454018
528180.01,2263261.01,15.037846565
528180.01,2263361.01,16.459314346
528180.01,2263461.01,18.463993073
528180.01,2263561.01,18.838640213
528180.01,2263661.01,19.865411758
528180.01,2263761.01,20.866788864
528180.01,2263861.01,21.720497131
528180.01,2263961.01,23.958703995
528180.01,2264061.01,27.905788422
528180.01,2264161.01,29.19758606
528180.01,2264261.01,30.774190903
528180.01,2264361.01,34.037456512
528180.01,2264461.01,33.767055511
528180.01,2264561.01,26.665826797
528180.01,2264661.01,20.949417114
528180.01,2264761.01,20.949417114
528180.01,2264861.01,20.949417114
528180.01,2264961.01,24.205394745
528180.01,2265061.01,26.112703323
528180.01,2265161.01,32.285812378
528180.01,2265261.01,36.762607574
528180.01,2265361.01,35.429607391
528180.01,2265461.01,34.241325378
528180.01,2265561.01,36.876487732
528180.01,2265661.01,37.812175751
528180.01,2265761.01,38.157157898
528180.01,2265861.01,42.857460022
528180.01,2265961.01,46.846286774
528180.01,2266061.01,47.594917297
528180.01,2266161.01,46.079719543
528180.01,2266261.01,46.11391449
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,44.972690582
528280.01,2261161.01,47.870819092
528280.01,2261261.01,52.571651459
528280.01,2261361.01,59.250118256
528280.01,2261461.01,66.715644836
528280.01,2261561.01,76.907676697
528280.01,2261661.01,73.888885498
528280.01,2261761.01,93.600746155
528280.01,2261861.01,96.47064209
528280.01,2261961.01,101.284217834
528280.01,2262061.01,96.249435425
528280.01,2262161.01,37.107124329
528280.01,2262261.01,31.851694107
528280.01,2262361.01,41.407394409
528280.01,2262461.01,15.331167221
528280.01,2262561.01,15.053500175
528280.01,2262661.01,14.719560623
528280.01,2262761.01,13.664423943
528280.01,2262861.01,12.456929207
528280.01,2262961.01,12.502966881
528280.01,2263061.01,13.008109093
528280.01,2263161.01,12.307150841
528280.01,2263261.01,12.78720665
528280.01,2263361.01,14.321827888
528280.01,2263461.01,14.529732704
528280.01,2263561.01,16.055545807
528280.01,2263661.01,16.804004669
528280.01,2263761.01,15.885401726
528280.01,2263861.01,17.276418686
528280.01,2263961.01,20.158506393
528280.01,2264061.01,23.495744705
528280.01,2264161.01,24.133852005
528280.01,2264261.01,25.294971466
528280.01,2264361.01,27.110191345
528280.01,2264461.01,26.451099396
528280.01,2264561.01,26.902984619
528280.01,2264661.01,21.801692963
528280.01,2264761.01,21.440155029
528280.01,2264861.01,22.865785599
528280.01,2264961.01,29.35276413
528280.01,2265061.01,30.010574341
528280.01,2265161.01,33.204956055
528280.01,2265261.01,34.989253998
528280.01,2265361.01,33.670536041
528280.01,2265461.01,31.831085205
528280.01,2265561.01,34.066833496
528280.01,2265661.01,35.994049072
528280.01,2265761.01,36.929672241
528280.01,2265861.01,41.794498444
528280.01,2265961.01,45.686779022
528280.01,2266061.01,47.362960815
528280.01,2266161.01,48.011871338
528280.01,2266261.01,47.774353027
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,48.787094116
528380.01,2260961.01,47.366531372
528380.01,2261061.01,48.529800415
528380.01,2261161.01,51.945411682
528380.01,2261261.01,56.804756165
528380.01,2261361.01,63.971694946
528380.01,2261461.01,76.776359558
528380.01,2261561.01,81.372306824
528380.01,2261661.01,85.504272461
528380.01,2261761.01,90.04813385
528380.01,2261861.01,91.775314331
528380.01,2261961.01,97.407524109
528380.01,2262061.01,102.35962677
528380.01,2262161.01,102.35962677
528380.01,2262261.01,102.35962677
528380.01,2262361.01,102.35962677
528380.01,2262461.01,91.052391052
528380.01,2262561.01,91.783370972
528380.01,2262661.01,24.778717041
528380.01,2262761.01,13.386266708
528380.01,2262861.01,12.621362686
528380.01,2262961.01,10.466826439
528380.01,2263061.01,10.533472061
528380.01,2263161.01,10.659669876
528380.01,2263261.01,10.788761139
528380.01,2263361.01,9.249902725
528380.01,2263461.01,9.670503616
528380.01,2263561.01,11.693187714
528380.01,2263661.01,13.572828293
528380.01,2263761.01,12.591032982
528380.01,2263861.01,13.752912521
528380.01,2263961.01,16.816545486
528380.01,2264061.01,16.411212921
528380.01,2264161.01,18.414348602
528380.01,2264261.01,20.728210449
528380.01,2264361.01,20.564645767
528380.01,2264461.01,19.17555809
528380.01,2264561.01,19.331970215
528380.01,2264661.01,20.066791534
528380.01,2264761.01,21.361930847
528380.01,2264861.01,24.796993256
528380.01,2264961.01,28.311361313
528380.01,2265061.01,28.571119308
528380.01,2265161.01,31.5229702
528380.01,2265261.01,33.103549957
528380.01,2265361.01,31.48997879
528380.01,2265461.01,30.686489105
528380.01,2265561.01,31.737707138
528380.01,2265661.01,33.574737549
