"X","Y","H60_Charm (Depth)"
527880.01,2263161.01,974.042175293
527880.01,2263261.01,973.822631836
527880.01,2263361.01,973.432617188
527880.01,2263461.01,972.698059082
527880.01,2263561.01,972.38885498
527880.01,2263661.01,973.125549316
527880.01,2263761.01,973.413024902
527880.01,2263861.01,973.432434082
527880.01,2263961.01,973.469482422
527880.01,2264061.01,973.469482422
527880.01,2264161.01,971.168640137
527880.01,2264261.01,967.914672852
527880.01,2264361.01,961.699523926
527880.01,2264461.01,959.010742188
527880.01,2264561.01,960.369140625
527880.01,2264661.01,949.728881836
527880.01,2264761.01,951.123168945
527880.01,2264861.01,954.119567871
527880.01,2264961.01,959.891174316
527880.01,2265061.01,958.943115234
527880.01,2265161.01,953.338806152
527880.01,2265261.01,956.969726563
527880.01,2265361.01,958.353820801
527880.01,2265461.01,960.428161621
527880.01,2265561.01,962.596313477
527880.01,2265661.01,966.531616211
527880.01,2265761.01,969.954528809
527880.01,2265861.01,969.398010254
527880.01,2265961.01,969.874511719
527880.01,2266061.01,970.23248291
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,975.376037598
527980.01,2261161.01,975.500732422
527980.01,2261261.01,975.500732422
527980.01,2261361.01,951.028320313
527980.01,2261461.01,951.028320313
527980.01,2261561.01,950.937011719
527980.01,2261661.01,950.937011719
527980.01,2261761.01,951.847106934
527980.01,2261861.01,953.038818359
527980.01,2261961.01,953.110900879
527980.01,2262061.01,954.864990234
527980.01,2262161.01,959.288696289
527980.01,2262261.01,959.996520996
527980.01,2262361.01,959.658508301
527980.01,2262461.01,961.039550781
527980.01,2262561.01,962.160827637
527980.01,2262661.01,963.094482422
527980.01,2262761.01,965.03503418
527980.01,2262861.01,967.525756836
527980.01,2262961.01,967.694885254
527980.01,2263061.01,968.588989258
527980.01,2263161.01,971.026184082
527980.01,2263261.01,970.258605957
527980.01,2263361.01,970.968017578
527980.01,2263461.01,971.717712402
527980.01,2263561.01,972.118713379
527980.01,2263661.01,972.811584473
527980.01,2263761.01,973.725219727
527980.01,2263861.01,973.819091797
527980.01,2263961.01,972.252441406
527980.01,2264061.01,971.216552734
527980.01,2264161.01,969.411560059
527980.01,2264261.01,964.734741211
527980.01,2264361.01,962.770324707
527980.01,2264461.01,958.898010254
527980.01,2264561.01,949.728881836
527980.01,2264661.01,951.85357666
527980.01,2264761.01,952.504638672
527980.01,2264861.01,952.49621582
527980.01,2264961.01,956.787353516
527980.01,2265061.01,958.279296875
527980.01,2265161.01,959.264709473
527980.01,2265261.01,957.232788086
527980.01,2265361.01,959.037963867
527980.01,2265461.01,961.127380371
527980.01,2265561.01,964.204956055
527980.01,2265661.01,965.806274414
527980.01,2265761.01,968.205444336
527980.01,2265861.01,970.975524902
527980.01,2265961.01,969.506958008
527980.01,2266061.01,967.296936035
527980.01,2266161.01,966.071960449
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,975.251281738
528080.01,2261161.01,975.479370117
528080.01,2261261.01,975.500732422
528080.01,2261361.01,975.500732422
528080.01,2261461.01,974.959594727
528080.01,2261561.01,951.028320313
528080.01,2261661.01,951.028320313
528080.01,2261761.01,951.028320313
528080.01,2261861.01,951.717590332
528080.01,2261961.01,959.387451172
528080.01,2262061.01,958.527893066
528080.01,2262161.01,960.582275391
528080.01,2262261.01,960.582275391
528080.01,2262361.01,959.762695313
528080.01,2262461.01,960.460876465
528080.01,2262561.01,960.049560547
528080.01,2262661.01,960.464660645
528080.01,2262761.01,962.289611816
528080.01,2262861.01,961.747192383
528080.01,2262961.01,962.174499512
528080.01,2263061.01,963.335083008
528080.01,2263161.01,964.38293457
528080.01,2263261.01,964.439819336
528080.01,2263361.01,965.379394531
528080.01,2263461.01,968.051330566
528080.01,2263561.01,968.97644043
528080.01,2263661.01,971.587402344
528080.01,2263761.01,973.777099609
528080.01,2263861.01,972.801025391
528080.01,2263961.01,968.433959961
528080.01,2264061.01,967.136962891
528080.01,2264161.01,960.088928223
528080.01,2264261.01,955.793762207
528080.01,2264361.01,952.402404785
528080.01,2264461.01,951.036987305
528080.01,2264561.01,952.067260742
528080.01,2264661.01,955.438049316
528080.01,2264761.01,956.164306641
528080.01,2264861.01,956.410461426
528080.01,2264961.01,957.708496094
528080.01,2265061.01,957.905456543
528080.01,2265161.01,956.511657715
528080.01,2265261.01,952.768127441
528080.01,2265361.01,955.162658691
528080.01,2265461.01,955.909790039
528080.01,2265561.01,962.789733887
528080.01,2265661.01,964.269775391
528080.01,2265761.01,962.539428711
528080.01,2265861.01,964.628479004
528080.01,2265961.01,966.069824219
528080.01,2266061.01,964.659362793
528080.01,2266161.01,963.867004395
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,974.938903809
528180.01,2261161.01,975.353088379
528180.01,2261261.01,973.877319336
528180.01,2261361.01,973.641540527
528180.01,2261461.01,973.608398438
528180.01,2261561.01,971.549865723
528180.01,2261661.01,970.553283691
